Orthogroup	HF920637.1	ON740976.1
OG0000000	HF920637.1_00129, HF920637.1_00164	ON740976.1_00030
OG0000001	HF920637.1_00059	ON740976.1_00008
OG0000002	HF920637.1_00143	ON740976.1_00007
OG0000003	HF920637.1_00159	ON740976.1_00014
OG0000004	HF920637.1_00025	ON740976.1_00111
OG0000005	HF920637.1_00221	ON740976.1_00094
OG0000006	HF920637.1_00121	ON740976.1_00075
OG0000007	HF920637.1_00172	ON740976.1_00089
OG0000008	HF920637.1_00176, HF920637.1_00175	ON740976.1_00029
OG0000009	HF920637.1_00153	ON740976.1_00113
OG0000011	HF920637.1_00217	ON740976.1_00063
OG0000012	HF920637.1_00001	ON740976.1_00021
OG0000013	HF920637.1_00017	ON740976.1_00057
OG0000014	HF920637.1_00108	ON740976.1_00121
OG0000015	HF920637.1_00152	ON740976.1_00122
OG0000016	HF920637.1_00079	ON740976.1_00086
OG0000017	HF920637.1_00073	ON740976.1_00033
OG0000018	HF920637.1_00111	ON740976.1_00106
OG0000019	HF920637.1_00197	ON740976.1_00085
OG0000020	HF920637.1_00031	ON740976.1_00031
OG0000021	HF920637.1_00041	ON740976.1_00005
OG0000022	HF920637.1_00213	ON740976.1_00035
OG0000023	HF920637.1_00033	ON740976.1_00044
OG0000024	HF920637.1_00061	ON740976.1_00026
OG0000025	HF920637.1_00156	ON740976.1_00064
OG0000031	HF920637.1_00127	ON740976.1_00006
