Orthogroup	HF920637.1	OL774653.1
OG0000000	HF920637.1_00129, HF920637.1_00164	OL774653.1_00051
OG0000001	HF920637.1_00059	OL774653.1_00026
OG0000002	HF920637.1_00143	OL774653.1_00025
OG0000003	HF920637.1_00159	OL774653.1_00032
OG0000004	HF920637.1_00025	OL774653.1_00006
OG0000005	HF920637.1_00221	OL774653.1_00114
OG0000006	HF920637.1_00121	OL774653.1_00094
OG0000007	HF920637.1_00172	OL774653.1_00108
OG0000008	HF920637.1_00176, HF920637.1_00175	OL774653.1_00050
OG0000009	HF920637.1_00153	OL774653.1_00008
OG0000011	HF920637.1_00217	OL774653.1_00082
OG0000012	HF920637.1_00001	OL774653.1_00039
OG0000013	HF920637.1_00017	OL774653.1_00076
OG0000014	HF920637.1_00108	OL774653.1_00016
OG0000015	HF920637.1_00152	OL774653.1_00017
OG0000016	HF920637.1_00079	OL774653.1_00105
OG0000017	HF920637.1_00073	OL774653.1_00054
OG0000018	HF920637.1_00111	OL774653.1_00001
OG0000019	HF920637.1_00197	OL774653.1_00104
OG0000020	HF920637.1_00031	OL774653.1_00052
OG0000021	HF920637.1_00041	OL774653.1_00023
OG0000022	HF920637.1_00213	OL774653.1_00056
OG0000023	HF920637.1_00033	OL774653.1_00065
OG0000024	HF920637.1_00061	OL774653.1_00047
OG0000025	HF920637.1_00156	OL774653.1_00083
OG0000031	HF920637.1_00127	OL774653.1_00024
