Orthogroup	HF920637.1	ON743042.1
OG0000000	HF920637.1_00129, HF920637.1_00164	ON743042.1_00031
OG0000001	HF920637.1_00059	ON743042.1_00008
OG0000002	HF920637.1_00143	ON743042.1_00007
OG0000003	HF920637.1_00159	ON743042.1_00015
OG0000004	HF920637.1_00025	ON743042.1_00113
OG0000005	HF920637.1_00221	ON743042.1_00096
OG0000006	HF920637.1_00121	ON743042.1_00077
OG0000007	HF920637.1_00172	ON743042.1_00091
OG0000008	HF920637.1_00176, HF920637.1_00175	ON743042.1_00030
OG0000009	HF920637.1_00153	ON743042.1_00115
OG0000011	HF920637.1_00217	ON743042.1_00065
OG0000012	HF920637.1_00001	ON743042.1_00022
OG0000013	HF920637.1_00017	ON743042.1_00059
OG0000014	HF920637.1_00108	ON743042.1_00123
OG0000015	HF920637.1_00152	ON743042.1_00124
OG0000016	HF920637.1_00079	ON743042.1_00088
OG0000017	HF920637.1_00073	ON743042.1_00034
OG0000018	HF920637.1_00111	ON743042.1_00108
OG0000019	HF920637.1_00197	ON743042.1_00087
OG0000020	HF920637.1_00031	ON743042.1_00032
OG0000021	HF920637.1_00041	ON743042.1_00005
OG0000022	HF920637.1_00213	ON743042.1_00036
OG0000023	HF920637.1_00033	ON743042.1_00046
OG0000024	HF920637.1_00061	ON743042.1_00027
OG0000025	HF920637.1_00156	ON743042.1_00066
OG0000031	HF920637.1_00127	ON743042.1_00006
