Orthogroup	HF920637.1	OK042108.1
OG0000000	HF920637.1_00129, HF920637.1_00164	OK042108.1_00047
OG0000001	HF920637.1_00059	OK042108.1_00068
OG0000002	HF920637.1_00143	OK042108.1_00069
OG0000003	HF920637.1_00159	OK042108.1_00062
OG0000004	HF920637.1_00025	OK042108.1_00087
OG0000005	HF920637.1_00221	OK042108.1_00104
OG0000006	HF920637.1_00121	OK042108.1_00001
OG0000007	HF920637.1_00172	OK042108.1_00109
OG0000008	HF920637.1_00176, HF920637.1_00175	OK042108.1_00048
OG0000009	HF920637.1_00153	OK042108.1_00085
OG0000011	HF920637.1_00217	OK042108.1_00013
OG0000012	HF920637.1_00001	OK042108.1_00055
OG0000013	HF920637.1_00017	OK042108.1_00020
OG0000014	HF920637.1_00108	OK042108.1_00077
OG0000015	HF920637.1_00152	OK042108.1_00076
OG0000016	HF920637.1_00079	OK042108.1_00112
OG0000017	HF920637.1_00073	OK042108.1_00044
OG0000018	HF920637.1_00111	OK042108.1_00092
OG0000019	HF920637.1_00197	OK042108.1_00113
OG0000020	HF920637.1_00031	OK042108.1_00046
OG0000021	HF920637.1_00041	OK042108.1_00070
OG0000022	HF920637.1_00213	OK042108.1_00042
OG0000023	HF920637.1_00033	OK042108.1_00033
OG0000024	HF920637.1_00061	OK042108.1_00050
OG0000025	HF920637.1_00156	OK042108.1_00012
