Orthogroup	HF920637.1	L63545.1
OG0000000	HF920637.1_00129, HF920637.1_00164	L63545.1_00007
OG0000001	HF920637.1_00059	L63545.1_00035
OG0000002	HF920637.1_00143	L63545.1_00079
OG0000003	HF920637.1_00159	L63545.1_00076
OG0000004	HF920637.1_00025	L63545.1_00001
OG0000005	HF920637.1_00221	L63545.1_00056
OG0000006	HF920637.1_00121	L63545.1_00093
OG0000007	HF920637.1_00172	L63545.1_00090
OG0000008	HF920637.1_00176, HF920637.1_00175	L63545.1_00108
OG0000009	HF920637.1_00153	L63545.1_00024
OG0000011	HF920637.1_00217	L63545.1_00069
OG0000012	HF920637.1_00001	L63545.1_00071
OG0000013	HF920637.1_00017	L63545.1_00004
OG0000014	HF920637.1_00108	L63545.1_00030
OG0000015	HF920637.1_00152	L63545.1_00110
OG0000016	HF920637.1_00079	L63545.1_00073
OG0000017	HF920637.1_00073	L63545.1_00072
OG0000018	HF920637.1_00111	L63545.1_00068
OG0000019	HF920637.1_00197	L63545.1_00009
OG0000020	HF920637.1_00031	L63545.1_00098
OG0000021	HF920637.1_00041	L63545.1_00043
OG0000022	HF920637.1_00213	L63545.1_00013
OG0000023	HF920637.1_00033	L63545.1_00054
OG0000024	HF920637.1_00061	L63545.1_00015
OG0000113	HF920637.1_00077, HF920637.1_00148	L63545.1_00088, L63545.1_00051, L63545.1_00047, L63545.1_00050
OG0000113	HF920637.1_00138	L63545.1_00005
OG0000134	HF920637.1_00219	L63545.1_00092
OG0000135	HF920637.1_00014	L63545.1_00016
OG0000137	HF920637.1_00105	L63545.1_00100
OG0000138	HF920637.1_00181	L63545.1_00023
OG0000155	HF920637.1_00168	L63545.1_00012
OG0000160	HF920637.1_00072	L63545.1_00055
OG0000210	HF920637.1_00024	L63545.1_00105
