Orthogroup	HF920637.1	NC_005946.1
OG0000000	HF920637.1_00129, HF920637.1_00164	NC_005946.1_00010
OG0000001	HF920637.1_00059	NC_005946.1_00053
OG0000002	HF920637.1_00143	NC_005946.1_00091
OG0000003	HF920637.1_00159	NC_005946.1_00057
OG0000004	HF920637.1_00025	NC_005946.1_00028
OG0000005	HF920637.1_00221	NC_005946.1_00014
OG0000006	HF920637.1_00121	NC_005946.1_00042
OG0000007	HF920637.1_00172	NC_005946.1_00002
OG0000008	HF920637.1_00176, HF920637.1_00175	NC_005946.1_00095
OG0000009	HF920637.1_00153	NC_005946.1_00092
OG0000011	HF920637.1_00217	NC_005946.1_00011
OG0000012	HF920637.1_00001	NC_005946.1_00060
OG0000013	HF920637.1_00017	NC_005946.1_00022
OG0000014	HF920637.1_00108	NC_005946.1_00016
OG0000015	HF920637.1_00152	NC_005946.1_00021
OG0000016	HF920637.1_00079	NC_005946.1_00082
OG0000017	HF920637.1_00073	NC_005946.1_00087
OG0000018	HF920637.1_00111	NC_005946.1_00023
OG0000019	HF920637.1_00197	NC_005946.1_00094
OG0000020	HF920637.1_00031	NC_005946.1_00083
OG0000021	HF920637.1_00041	NC_005946.1_00038
OG0000022	HF920637.1_00213	NC_005946.1_00061
OG0000023	HF920637.1_00033	NC_005946.1_00089
OG0000024	HF920637.1_00061	NC_005946.1_00067
OG0000113	HF920637.1_00077, HF920637.1_00148	NC_005946.1_00020
OG0000134	HF920637.1_00219	NC_005946.1_00001
OG0000135	HF920637.1_00014	NC_005946.1_00079
OG0000137	HF920637.1_00105	NC_005946.1_00039
OG0000148	HF920637.1_00060	NC_005946.1_00054
OG0000156	HF920637.1_00150	NC_005946.1_00063
OG0000160	HF920637.1_00072	NC_005946.1_00075
