Orthogroup	HF920637.1	AY779031.1
OG0000000	HF920637.1_00129, HF920637.1_00164	AY779031.1_00034
OG0000001	HF920637.1_00059	AY779031.1_00008
OG0000002	HF920637.1_00143	AY779031.1_00007
OG0000003	HF920637.1_00159	AY779031.1_00015, AY779031.1_00016
OG0000004	HF920637.1_00025	AY779031.1_00121
OG0000005	HF920637.1_00221	AY779031.1_00103
OG0000006	HF920637.1_00121	AY779031.1_00083
OG0000007	HF920637.1_00172	AY779031.1_00098
OG0000008	HF920637.1_00176, HF920637.1_00175	AY779031.1_00033
OG0000009	HF920637.1_00153	AY779031.1_00122
OG0000011	HF920637.1_00217	AY779031.1_00068
OG0000012	HF920637.1_00001	AY779031.1_00023
OG0000013	HF920637.1_00017	AY779031.1_00061
OG0000014	HF920637.1_00108	AY779031.1_00129
OG0000015	HF920637.1_00152	AY779031.1_00130
OG0000016	HF920637.1_00079	AY779031.1_00095
OG0000017	HF920637.1_00073	AY779031.1_00037
OG0000018	HF920637.1_00111	AY779031.1_00116
OG0000019	HF920637.1_00197	AY779031.1_00094
OG0000020	HF920637.1_00031	AY779031.1_00035
OG0000021	HF920637.1_00041	AY779031.1_00005
OG0000022	HF920637.1_00213	AY779031.1_00039
OG0000023	HF920637.1_00033	AY779031.1_00049
OG0000025	HF920637.1_00156	AY779031.1_00069
OG0000031	HF920637.1_00127	AY779031.1_00006
