Orthogroup	HF920637.1	OM037668.1
OG0000000	HF920637.1_00129, HF920637.1_00164	OM037668.1_00035
OG0000001	HF920637.1_00059	OM037668.1_00056
OG0000002	HF920637.1_00143	OM037668.1_00057
OG0000003	HF920637.1_00159	OM037668.1_00050
OG0000004	HF920637.1_00025	OM037668.1_00076
OG0000005	HF920637.1_00221	OM037668.1_00080
OG0000006	HF920637.1_00121	OM037668.1_00021
OG0000007	HF920637.1_00172	OM037668.1_00084
OG0000008	HF920637.1_00176, HF920637.1_00175	OM037668.1_00038
OG0000009	HF920637.1_00153	OM037668.1_00077
OG0000011	HF920637.1_00217	OM037668.1_00009
OG0000012	HF920637.1_00001	OM037668.1_00041
OG0000013	HF920637.1_00017	OM037668.1_00098
OG0000014	HF920637.1_00108	OM037668.1_00078
OG0000015	HF920637.1_00152	OM037668.1_00004
OG0000016	HF920637.1_00079	OM037668.1_00089
OG0000017	HF920637.1_00073	OM037668.1_00124
OG0000018	HF920637.1_00111	OM037668.1_00073
OG0000019	HF920637.1_00197	OM037668.1_00090
OG0000020	HF920637.1_00031	OM037668.1_00123
OG0000021	HF920637.1_00041	OM037668.1_00013
OG0000022	HF920637.1_00213	OM037668.1_00127
OG0000023	HF920637.1_00033	OM037668.1_00113
OG0000024	HF920637.1_00061	OM037668.1_00064
OG0000025	HF920637.1_00156	OM037668.1_00024
OG0000031	HF920637.1_00127	OM037668.1_00011
OG0000139	HF920637.1_00123	OM037668.1_00068
OG0000164	HF920637.1_00013	OM037668.1_00022
