Orthogroup	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1	Daphi_LS484712.1	Decap_MF599468.1	Irido_IIV31_HF920637.1	Irido_IIV6_AF303741.1	Lymph_LCD4_MN803438.1	Lymph_LDV1_L63545.1	MCV_ML1_SDDV_MN562489.1	MCV_ML1_SDDV_MT521409.1	MCV_ML1_SDDV_NC_027778.1	MCV_ML1_SDDV_OM037668.1	MCV_MP1_BCFI_MN432490.1	MCV_MP1_BCFI_MT926123.1	MCV_MP1_GSPI_KT804738.1	MCV_MP1_ISKNV_AF371960.1	MCV_MP1_ISKNV_MK689685.1	MCV_MP1_LBUSV_OP009387.1	MCV_MP1_LYCI_AY779031.1	MCV_MP1_LYCI_MW139932.1	MCV_MP1_LYCI_OL774653.1	MCV_MP1_LYCI_OL774654.1	MCV_MP1_LYCI_OL774655.1	MCV_MP1_OSGI_AY894343.1	MCV_MP1_PI_MK098185.1	MCV_MP1_PI_MK098186.1	MCV_MP1_PI_MK098187.1	MCV_MP1_RBIV_AY532606.1	MCV_MP1_RBIV_KC244182.1	MCV_MP1_RSIV_BD143114.1	MCV_MP1_RSIV_MK689686.1	MCV_MP1_RSIV_MT798582.1	MCV_MP1_RSIV_OK042108.1	MCV_MP1_RSIV_OK042109.1	MCV_MP1_RSIV_ON740976.1	MCV_MP1_RSIV_ON743042.1	MCV_MP1_SKIV_MT986830.1	MCV_MP1_SKIV_ON075463.1	MCV_MP1_TRBIV_GQ273492.1	MCV_Unclassified_MG570131.1	MCV_Unclassified_MG570132.1	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
OG0000471	Chlor_AMIV_KF938901.1_00019																																												
OG0000472	Chlor_AMIV_KF938901.1_00021																																												
OG0000473	Chlor_AMIV_KF938901.1_00022																																												
OG0000474	Chlor_AMIV_KF938901.1_00024																																												
OG0000475	Chlor_AMIV_KF938901.1_00033																																												
OG0000476	Chlor_AMIV_KF938901.1_00036																																												
OG0000477	Chlor_AMIV_KF938901.1_00039																																												
OG0000478	Chlor_AMIV_KF938901.1_00052																																												
OG0000479	Chlor_AMIV_KF938901.1_00055																																												
OG0000480	Chlor_AMIV_KF938901.1_00056																																												
OG0000481	Chlor_AMIV_KF938901.1_00058																																												
OG0000482	Chlor_AMIV_KF938901.1_00064																																												
OG0000483	Chlor_AMIV_KF938901.1_00076																																												
OG0000484	Chlor_AMIV_KF938901.1_00081																																												
OG0000485	Chlor_AMIV_KF938901.1_00089																																												
OG0000486	Chlor_AMIV_KF938901.1_00097																																												
OG0000487	Chlor_AMIV_KF938901.1_00111																																												
OG0000488	Chlor_AMIV_KF938901.1_00120																																												
OG0000489	Chlor_AMIV_KF938901.1_00131																																												
OG0000490	Chlor_AMIV_KF938901.1_00138																																												
OG0000491	Chlor_AMIV_KF938901.1_00142																																												
OG0000492	Chlor_AMIV_KF938901.1_00143																																												
OG0000493	Chlor_AMIV_KF938901.1_00145																																												
OG0000494	Chlor_AMIV_KF938901.1_00147																																												
OG0000495	Chlor_AMIV_KF938901.1_00156																																												
OG0000496		Chlor_IIV22_HF920633.1_00009																																											
OG0000497		Chlor_IIV22_HF920633.1_00010																																											
OG0000498		Chlor_IIV22_HF920633.1_00011																																											
OG0000499		Chlor_IIV22_HF920633.1_00028																																											
OG0000500		Chlor_IIV22_HF920633.1_00038																																											
OG0000501		Chlor_IIV22_HF920633.1_00054																																											
OG0000502		Chlor_IIV22_HF920633.1_00068																																											
OG0000503		Chlor_IIV22_HF920633.1_00071																																											
OG0000504		Chlor_IIV22_HF920633.1_00072																																											
OG0000505		Chlor_IIV22_HF920633.1_00076																																											
OG0000506		Chlor_IIV22_HF920633.1_00077																																											
OG0000507		Chlor_IIV22_HF920633.1_00083																																											
OG0000508		Chlor_IIV22_HF920633.1_00084																																											
OG0000509		Chlor_IIV22_HF920633.1_00093																																											
OG0000510		Chlor_IIV22_HF920633.1_00108																																											
OG0000511		Chlor_IIV22_HF920633.1_00109																																											
OG0000512		Chlor_IIV22_HF920633.1_00124																																											
OG0000513		Chlor_IIV22_HF920633.1_00126																																											
OG0000514		Chlor_IIV22_HF920633.1_00133																																											
OG0000515		Chlor_IIV22_HF920633.1_00148																																											
OG0000516		Chlor_IIV22_HF920633.1_00150																																											
OG0000517		Chlor_IIV22_HF920633.1_00152																																											
OG0000518		Chlor_IIV22_HF920633.1_00154																																											
OG0000519		Chlor_IIV22_HF920633.1_00168																																											
OG0000520		Chlor_IIV22_HF920633.1_00173																																											
OG0000521			Daphi_LS484712.1_00001																																										
OG0000522			Daphi_LS484712.1_00003																																										
OG0000523			Daphi_LS484712.1_00004																																										
OG0000524			Daphi_LS484712.1_00005																																										
OG0000525			Daphi_LS484712.1_00007																																										
OG0000526			Daphi_LS484712.1_00011																																										
OG0000527			Daphi_LS484712.1_00012																																										
OG0000528			Daphi_LS484712.1_00013																																										
OG0000529			Daphi_LS484712.1_00014																																										
OG0000530			Daphi_LS484712.1_00015																																										
OG0000531			Daphi_LS484712.1_00016																																										
OG0000532			Daphi_LS484712.1_00017																																										
OG0000533			Daphi_LS484712.1_00018																																										
OG0000534			Daphi_LS484712.1_00019																																										
OG0000535			Daphi_LS484712.1_00020																																										
OG0000536			Daphi_LS484712.1_00021																																										
OG0000537			Daphi_LS484712.1_00022																																										
OG0000538			Daphi_LS484712.1_00023																																										
OG0000539			Daphi_LS484712.1_00029																																										
OG0000540			Daphi_LS484712.1_00033																																										
OG0000541			Daphi_LS484712.1_00035																																										
OG0000542			Daphi_LS484712.1_00036																																										
OG0000543			Daphi_LS484712.1_00037																																										
OG0000544			Daphi_LS484712.1_00038																																										
OG0000545			Daphi_LS484712.1_00039																																										
OG0000546			Daphi_LS484712.1_00041																																										
OG0000547			Daphi_LS484712.1_00043																																										
OG0000548			Daphi_LS484712.1_00044																																										
OG0000549			Daphi_LS484712.1_00045																																										
OG0000550			Daphi_LS484712.1_00046																																										
OG0000551			Daphi_LS484712.1_00047																																										
OG0000552			Daphi_LS484712.1_00049																																										
OG0000553			Daphi_LS484712.1_00051																																										
OG0000554			Daphi_LS484712.1_00054																																										
OG0000555			Daphi_LS484712.1_00055																																										
OG0000556			Daphi_LS484712.1_00058																																										
OG0000557			Daphi_LS484712.1_00059																																										
OG0000558			Daphi_LS484712.1_00061																																										
OG0000559			Daphi_LS484712.1_00062																																										
OG0000560			Daphi_LS484712.1_00066																																										
OG0000561			Daphi_LS484712.1_00067																																										
OG0000562			Daphi_LS484712.1_00071																																										
OG0000563			Daphi_LS484712.1_00073																																										
OG0000564			Daphi_LS484712.1_00074																																										
OG0000565			Daphi_LS484712.1_00075																																										
OG0000566			Daphi_LS484712.1_00076																																										
OG0000567			Daphi_LS484712.1_00077																																										
OG0000568			Daphi_LS484712.1_00078																																										
OG0000569			Daphi_LS484712.1_00079																																										
OG0000570			Daphi_LS484712.1_00080																																										
OG0000571			Daphi_LS484712.1_00081																																										
OG0000572			Daphi_LS484712.1_00091																																										
OG0000573			Daphi_LS484712.1_00092																																										
OG0000574			Daphi_LS484712.1_00093																																										
OG0000575			Daphi_LS484712.1_00094																																										
OG0000576			Daphi_LS484712.1_00097																																										
OG0000577			Daphi_LS484712.1_00098																																										
OG0000578			Daphi_LS484712.1_00101																																										
OG0000579			Daphi_LS484712.1_00102																																										
OG0000580			Daphi_LS484712.1_00103																																										
OG0000581			Daphi_LS484712.1_00104																																										
OG0000582			Daphi_LS484712.1_00105																																										
OG0000583			Daphi_LS484712.1_00107																																										
OG0000584			Daphi_LS484712.1_00108																																										
OG0000585			Daphi_LS484712.1_00109																																										
OG0000586			Daphi_LS484712.1_00110																																										
OG0000587			Daphi_LS484712.1_00111																																										
OG0000588			Daphi_LS484712.1_00115																																										
OG0000589			Daphi_LS484712.1_00118																																										
OG0000590			Daphi_LS484712.1_00119																																										
OG0000591			Daphi_LS484712.1_00121																																										
OG0000592			Daphi_LS484712.1_00122																																										
OG0000593			Daphi_LS484712.1_00123																																										
OG0000594			Daphi_LS484712.1_00124																																										
OG0000595			Daphi_LS484712.1_00126																																										
OG0000596			Daphi_LS484712.1_00128																																										
OG0000597			Daphi_LS484712.1_00129																																										
OG0000598			Daphi_LS484712.1_00131																																										
OG0000599			Daphi_LS484712.1_00132																																										
OG0000600			Daphi_LS484712.1_00134																																										
OG0000601			Daphi_LS484712.1_00136																																										
OG0000602			Daphi_LS484712.1_00137																																										
OG0000603			Daphi_LS484712.1_00138																																										
OG0000604			Daphi_LS484712.1_00139																																										
OG0000605			Daphi_LS484712.1_00141																																										
OG0000606			Daphi_LS484712.1_00144																																										
OG0000607			Daphi_LS484712.1_00145																																										
OG0000608			Daphi_LS484712.1_00146																																										
OG0000609			Daphi_LS484712.1_00147																																										
OG0000610			Daphi_LS484712.1_00148																																										
OG0000611			Daphi_LS484712.1_00150																																										
OG0000612			Daphi_LS484712.1_00151																																										
OG0000613			Daphi_LS484712.1_00152																																										
OG0000614			Daphi_LS484712.1_00153																																										
OG0000615			Daphi_LS484712.1_00159																																										
OG0000616			Daphi_LS484712.1_00162																																										
OG0000617			Daphi_LS484712.1_00164																																										
OG0000618			Daphi_LS484712.1_00165																																										
OG0000619			Daphi_LS484712.1_00166																																										
OG0000620			Daphi_LS484712.1_00167																																										
OG0000621			Daphi_LS484712.1_00168																																										
OG0000622			Daphi_LS484712.1_00169																																										
OG0000623			Daphi_LS484712.1_00172																																										
OG0000624			Daphi_LS484712.1_00173																																										
OG0000625			Daphi_LS484712.1_00174																																										
OG0000626			Daphi_LS484712.1_00175																																										
OG0000627			Daphi_LS484712.1_00176																																										
OG0000628			Daphi_LS484712.1_00177																																										
OG0000629			Daphi_LS484712.1_00178																																										
OG0000630			Daphi_LS484712.1_00179																																										
OG0000631			Daphi_LS484712.1_00180																																										
OG0000632			Daphi_LS484712.1_00181																																										
OG0000633			Daphi_LS484712.1_00182																																										
OG0000634			Daphi_LS484712.1_00183																																										
OG0000635			Daphi_LS484712.1_00185																																										
OG0000636			Daphi_LS484712.1_00186																																										
OG0000637			Daphi_LS484712.1_00189																																										
OG0000638			Daphi_LS484712.1_00190																																										
OG0000639			Daphi_LS484712.1_00191																																										
OG0000640			Daphi_LS484712.1_00193																																										
OG0000641			Daphi_LS484712.1_00199																																										
OG0000642			Daphi_LS484712.1_00204																																										
OG0000643			Daphi_LS484712.1_00205																																										
OG0000644			Daphi_LS484712.1_00208																																										
OG0000645			Daphi_LS484712.1_00209																																										
OG0000646			Daphi_LS484712.1_00210																																										
OG0000647			Daphi_LS484712.1_00217																																										
OG0000648			Daphi_LS484712.1_00218																																										
OG0000649			Daphi_LS484712.1_00219																																										
OG0000650			Daphi_LS484712.1_00220																																										
OG0000651			Daphi_LS484712.1_00221																																										
OG0000652			Daphi_LS484712.1_00222																																										
OG0000653			Daphi_LS484712.1_00223																																										
OG0000654			Daphi_LS484712.1_00226																																										
OG0000655			Daphi_LS484712.1_00235																																										
OG0000656			Daphi_LS484712.1_00236																																										
OG0000657			Daphi_LS484712.1_00237																																										
OG0000658			Daphi_LS484712.1_00239																																										
OG0000659			Daphi_LS484712.1_00241																																										
OG0000660			Daphi_LS484712.1_00242																																										
OG0000661			Daphi_LS484712.1_00243																																										
OG0000662			Daphi_LS484712.1_00244																																										
OG0000663			Daphi_LS484712.1_00246																																										
OG0000664			Daphi_LS484712.1_00247																																										
OG0000665			Daphi_LS484712.1_00250																																										
OG0000666			Daphi_LS484712.1_00257																																										
OG0000667			Daphi_LS484712.1_00258																																										
OG0000668			Daphi_LS484712.1_00259																																										
OG0000669			Daphi_LS484712.1_00260																																										
OG0000670			Daphi_LS484712.1_00261																																										
OG0000671			Daphi_LS484712.1_00262																																										
OG0000672			Daphi_LS484712.1_00266																																										
OG0000673			Daphi_LS484712.1_00267																																										
OG0000674			Daphi_LS484712.1_00274																																										
OG0000675			Daphi_LS484712.1_00275																																										
OG0000676			Daphi_LS484712.1_00276																																										
OG0000677			Daphi_LS484712.1_00278																																										
OG0000678			Daphi_LS484712.1_00280																																										
OG0000679			Daphi_LS484712.1_00281																																										
OG0000680				Decap_MF599468.1_00001																																									
OG0000681				Decap_MF599468.1_00003																																									
OG0000682				Decap_MF599468.1_00005																																									
OG0000683				Decap_MF599468.1_00007																																									
OG0000684				Decap_MF599468.1_00008																																									
OG0000685				Decap_MF599468.1_00012																																									
OG0000686				Decap_MF599468.1_00014																																									
OG0000687				Decap_MF599468.1_00017																																									
OG0000688				Decap_MF599468.1_00018																																									
OG0000689				Decap_MF599468.1_00019																																									
OG0000690				Decap_MF599468.1_00020																																									
OG0000691				Decap_MF599468.1_00021																																									
OG0000692				Decap_MF599468.1_00026																																									
OG0000693				Decap_MF599468.1_00028																																									
OG0000694				Decap_MF599468.1_00034																																									
OG0000695				Decap_MF599468.1_00040																																									
OG0000696				Decap_MF599468.1_00041																																									
OG0000697				Decap_MF599468.1_00042																																									
OG0000698				Decap_MF599468.1_00048																																									
OG0000699				Decap_MF599468.1_00050																																									
OG0000700				Decap_MF599468.1_00053																																									
OG0000701				Decap_MF599468.1_00058																																									
OG0000702				Decap_MF599468.1_00059																																									
OG0000703				Decap_MF599468.1_00063																																									
OG0000704				Decap_MF599468.1_00064																																									
OG0000705				Decap_MF599468.1_00073																																									
OG0000706				Decap_MF599468.1_00080																																									
OG0000707				Decap_MF599468.1_00082																																									
OG0000708				Decap_MF599468.1_00083																																									
OG0000709				Decap_MF599468.1_00084																																									
OG0000710				Decap_MF599468.1_00085																																									
OG0000711				Decap_MF599468.1_00086																																									
OG0000712				Decap_MF599468.1_00087																																									
OG0000713				Decap_MF599468.1_00088																																									
OG0000714				Decap_MF599468.1_00093																																									
OG0000715				Decap_MF599468.1_00095																																									
OG0000716				Decap_MF599468.1_00097																																									
OG0000717				Decap_MF599468.1_00113																																									
OG0000718				Decap_MF599468.1_00115																																									
OG0000719				Decap_MF599468.1_00120																																									
OG0000720				Decap_MF599468.1_00121																																									
OG0000721				Decap_MF599468.1_00123																																									
OG0000722				Decap_MF599468.1_00124																																									
OG0000723				Decap_MF599468.1_00126																																									
OG0000724				Decap_MF599468.1_00127																																									
OG0000725				Decap_MF599468.1_00130																																									
OG0000726				Decap_MF599468.1_00132																																									
OG0000727				Decap_MF599468.1_00133																																									
OG0000728				Decap_MF599468.1_00135																																									
OG0000729				Decap_MF599468.1_00139																																									
OG0000730				Decap_MF599468.1_00140																																									
OG0000731				Decap_MF599468.1_00146																																									
OG0000732				Decap_MF599468.1_00147																																									
OG0000733				Decap_MF599468.1_00148																																									
OG0000734				Decap_MF599468.1_00150																																									
OG0000735				Decap_MF599468.1_00151																																									
OG0000736				Decap_MF599468.1_00153																																									
OG0000737				Decap_MF599468.1_00160																																									
OG0000738				Decap_MF599468.1_00164																																									
OG0000739				Decap_MF599468.1_00165																																									
OG0000740				Decap_MF599468.1_00166																																									
OG0000741				Decap_MF599468.1_00167																																									
OG0000742				Decap_MF599468.1_00168																																									
OG0000743				Decap_MF599468.1_00170																																									
OG0000744				Decap_MF599468.1_00173																																									
OG0000745				Decap_MF599468.1_00175																																									
OG0000746					Irido_IIV31_HF920637.1_00003																																								
OG0000747					Irido_IIV31_HF920637.1_00004																																								
OG0000748					Irido_IIV31_HF920637.1_00010																																								
OG0000749					Irido_IIV31_HF920637.1_00015																																								
OG0000750					Irido_IIV31_HF920637.1_00016																																								
OG0000751					Irido_IIV31_HF920637.1_00026																																								
OG0000752					Irido_IIV31_HF920637.1_00028																																								
OG0000753					Irido_IIV31_HF920637.1_00042																																								
OG0000754					Irido_IIV31_HF920637.1_00044																																								
OG0000755					Irido_IIV31_HF920637.1_00052																																								
OG0000756					Irido_IIV31_HF920637.1_00054																																								
OG0000757					Irido_IIV31_HF920637.1_00068																																								
OG0000758					Irido_IIV31_HF920637.1_00075																																								
OG0000759					Irido_IIV31_HF920637.1_00080																																								
OG0000760					Irido_IIV31_HF920637.1_00086																																								
OG0000761					Irido_IIV31_HF920637.1_00087																																								
OG0000762					Irido_IIV31_HF920637.1_00089																																								
OG0000763					Irido_IIV31_HF920637.1_00091																																								
OG0000764					Irido_IIV31_HF920637.1_00092																																								
OG0000765					Irido_IIV31_HF920637.1_00097																																								
OG0000766					Irido_IIV31_HF920637.1_00098																																								
OG0000767					Irido_IIV31_HF920637.1_00099																																								
OG0000768					Irido_IIV31_HF920637.1_00101																																								
OG0000769					Irido_IIV31_HF920637.1_00106																																								
OG0000770					Irido_IIV31_HF920637.1_00109																																								
OG0000771					Irido_IIV31_HF920637.1_00110																																								
OG0000772					Irido_IIV31_HF920637.1_00112																																								
OG0000773					Irido_IIV31_HF920637.1_00114																																								
OG0000774					Irido_IIV31_HF920637.1_00117																																								
OG0000775					Irido_IIV31_HF920637.1_00118																																								
OG0000776					Irido_IIV31_HF920637.1_00119																																								
OG0000777					Irido_IIV31_HF920637.1_00128																																								
OG0000778					Irido_IIV31_HF920637.1_00132																																								
OG0000779					Irido_IIV31_HF920637.1_00137																																								
OG0000780					Irido_IIV31_HF920637.1_00141																																								
OG0000781					Irido_IIV31_HF920637.1_00145																																								
OG0000782					Irido_IIV31_HF920637.1_00146																																								
OG0000783					Irido_IIV31_HF920637.1_00161																																								
OG0000784					Irido_IIV31_HF920637.1_00163																																								
OG0000785					Irido_IIV31_HF920637.1_00165																																								
OG0000786					Irido_IIV31_HF920637.1_00166																																								
OG0000787					Irido_IIV31_HF920637.1_00182																																								
OG0000788					Irido_IIV31_HF920637.1_00189																																								
OG0000789					Irido_IIV31_HF920637.1_00190																																								
OG0000790					Irido_IIV31_HF920637.1_00196																																								
OG0000791					Irido_IIV31_HF920637.1_00205																																								
OG0000792					Irido_IIV31_HF920637.1_00210																																								
OG0000793					Irido_IIV31_HF920637.1_00220																																								
OG0000794						Irido_IIV6_AF303741.1_00013																																							
OG0000795						Irido_IIV6_AF303741.1_00019																																							
OG0000796						Irido_IIV6_AF303741.1_00021																																							
OG0000797						Irido_IIV6_AF303741.1_00022																																							
OG0000798						Irido_IIV6_AF303741.1_00029																																							
OG0000799						Irido_IIV6_AF303741.1_00030																																							
OG0000800						Irido_IIV6_AF303741.1_00032																																							
OG0000801						Irido_IIV6_AF303741.1_00033																																							
OG0000802						Irido_IIV6_AF303741.1_00036																																							
