Orthogroup	AF303741.1	MT986830.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MT986830.1_00033
OG0000001	AF303741.1_00200, AF303741.1_00047	MT986830.1_00008
OG0000002	AF303741.1_00125	MT986830.1_00007
OG0000003	AF303741.1_00035	MT986830.1_00015
OG0000004	AF303741.1_00080	MT986830.1_00116
OG0000005	AF303741.1_00129	MT986830.1_00100
OG0000006	AF303741.1_00132	MT986830.1_00080
OG0000007	AF303741.1_00149	MT986830.1_00094
OG0000008	AF303741.1_00165	MT986830.1_00032
OG0000009	AF303741.1_00176	MT986830.1_00117
OG0000011	AF303741.1_00006	MT986830.1_00065
OG0000012	AF303741.1_00011	MT986830.1_00022
OG0000013	AF303741.1_00023	MT986830.1_00059
OG0000014	AF303741.1_00026	MT986830.1_00125
OG0000015	AF303741.1_00046	MT986830.1_00126
OG0000016	AF303741.1_00062	MT986830.1_00091
OG0000017	AF303741.1_00063	MT986830.1_00036
OG0000018	AF303741.1_00081	MT986830.1_00111
OG0000019	AF303741.1_00137	MT986830.1_00090
OG0000020	AF303741.1_00156	MT986830.1_00034
OG0000021	AF303741.1_00158	MT986830.1_00005
OG0000022	AF303741.1_00189	MT986830.1_00038
OG0000023	AF303741.1_00154	MT986830.1_00046
OG0000024	AF303741.1_00168	MT986830.1_00029
OG0000025	AF303741.1_00051	MT986830.1_00066
