Orthogroup	AF303741.1	KC244182.1
OG0000000	AF303741.1_00079, AF303741.1_00152	KC244182.1_00029
OG0000001	AF303741.1_00200, AF303741.1_00047	KC244182.1_00008
OG0000002	AF303741.1_00125	KC244182.1_00007
OG0000003	AF303741.1_00035	KC244182.1_00014
OG0000004	AF303741.1_00080	KC244182.1_00112
OG0000005	AF303741.1_00129	KC244182.1_00095
OG0000006	AF303741.1_00132	KC244182.1_00076
OG0000007	AF303741.1_00149	KC244182.1_00090
OG0000008	AF303741.1_00165	KC244182.1_00028
OG0000009	AF303741.1_00176	KC244182.1_00114
OG0000011	AF303741.1_00006	KC244182.1_00063
OG0000012	AF303741.1_00011	KC244182.1_00022
OG0000013	AF303741.1_00023	KC244182.1_00056
OG0000014	AF303741.1_00026	KC244182.1_00121
OG0000015	AF303741.1_00046	KC244182.1_00122
OG0000016	AF303741.1_00062	KC244182.1_00087
OG0000017	AF303741.1_00063	KC244182.1_00032
OG0000018	AF303741.1_00081	KC244182.1_00107
OG0000019	AF303741.1_00137	KC244182.1_00086
OG0000020	AF303741.1_00156	KC244182.1_00030
OG0000021	AF303741.1_00158	KC244182.1_00005
OG0000022	AF303741.1_00189	KC244182.1_00034
OG0000023	AF303741.1_00154	KC244182.1_00043
OG0000024	AF303741.1_00168	KC244182.1_00025
OG0000025	AF303741.1_00051	KC244182.1_00064
