Orthogroup	AF303741.1	MN562489.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MN562489.1_00102
OG0000001	AF303741.1_00200, AF303741.1_00047	MN562489.1_00081
OG0000002	AF303741.1_00125	MN562489.1_00080
OG0000003	AF303741.1_00035	MN562489.1_00087
OG0000004	AF303741.1_00080	MN562489.1_00060
OG0000005	AF303741.1_00129	MN562489.1_00056
OG0000006	AF303741.1_00132	MN562489.1_00116
OG0000007	AF303741.1_00149	MN562489.1_00052
OG0000008	AF303741.1_00165	MN562489.1_00099
OG0000009	AF303741.1_00176	MN562489.1_00059
OG0000011	AF303741.1_00006	MN562489.1_00128
OG0000012	AF303741.1_00011	MN562489.1_00096
OG0000013	AF303741.1_00023	MN562489.1_00038
OG0000014	AF303741.1_00026	MN562489.1_00058
OG0000015	AF303741.1_00046	MN562489.1_00133
OG0000016	AF303741.1_00062	MN562489.1_00047
OG0000017	AF303741.1_00063	MN562489.1_00011
OG0000018	AF303741.1_00081	MN562489.1_00063
OG0000019	AF303741.1_00137	MN562489.1_00046
OG0000020	AF303741.1_00156	MN562489.1_00012
OG0000021	AF303741.1_00158	MN562489.1_00124
OG0000022	AF303741.1_00189	MN562489.1_00008
OG0000023	AF303741.1_00154	MN562489.1_00023
OG0000024	AF303741.1_00168	MN562489.1_00073
OG0000025	AF303741.1_00051	MN562489.1_00113
OG0000139	AF303741.1_00101	MN562489.1_00069
OG0000164	AF303741.1_00009	MN562489.1_00115
OG0000173	AF303741.1_00117	MN562489.1_00114
