Orthogroup	AF303741.1	LS484712.1
OG0000000	AF303741.1_00079, AF303741.1_00152	LS484712.1_00114
OG0000001	AF303741.1_00200, AF303741.1_00047	LS484712.1_00095
OG0000002	AF303741.1_00125	LS484712.1_00142
OG0000003	AF303741.1_00035	LS484712.1_00187
OG0000005	AF303741.1_00129	LS484712.1_00256
OG0000006	AF303741.1_00132	LS484712.1_00040
OG0000007	AF303741.1_00149	LS484712.1_00234, LS484712.1_00050
OG0000008	AF303741.1_00165	LS484712.1_00248
OG0000009	AF303741.1_00176	LS484712.1_00130
OG0000011	AF303741.1_00006	LS484712.1_00203
OG0000012	AF303741.1_00011	LS484712.1_00200
OG0000013	AF303741.1_00023	LS484712.1_00143
OG0000014	AF303741.1_00026	LS484712.1_00202
OG0000015	AF303741.1_00046	LS484712.1_00135
OG0000016	AF303741.1_00062	LS484712.1_00048
OG0000017	AF303741.1_00063	LS484712.1_00240
OG0000018	AF303741.1_00081	LS484712.1_00053
OG0000019	AF303741.1_00137	LS484712.1_00192
OG0000020	AF303741.1_00156	LS484712.1_00188
OG0000021	AF303741.1_00158	LS484712.1_00096
OG0000022	AF303741.1_00189	LS484712.1_00194
OG0000023	AF303741.1_00154	LS484712.1_00117
OG0000024	AF303741.1_00168	LS484712.1_00149
OG0000123	AF303741.1_00195, AF303741.1_00178, AF303741.1_00121	LS484712.1_00198
OG0000134	AF303741.1_00126	LS484712.1_00057
OG0000135	AF303741.1_00157	LS484712.1_00197
OG0000137	AF303741.1_00031	LS484712.1_00251
OG0000138	AF303741.1_00100, AF303741.1_00162	LS484712.1_00063
OG0000148	AF303741.1_00072	LS484712.1_00133
OG0000153	AF303741.1_00145, AF303741.1_00090	LS484712.1_00211
OG0000166	AF303741.1_00056	LS484712.1_00116
OG0000167	AF303741.1_00068, AF303741.1_00067	LS484712.1_00113
OG0000168	AF303741.1_00076	LS484712.1_00140
OG0000169	AF303741.1_00087	LS484712.1_00195
OG0000170	AF303741.1_00091	LS484712.1_00212
OG0000171	AF303741.1_00096	LS484712.1_00112
OG0000174	AF303741.1_00179	LS484712.1_00184
OG0000193	AF303741.1_00122	LS484712.1_00196
OG0000195	AF303741.1_00146	LS484712.1_00224
OG0000198	AF303741.1_00151	LS484712.1_00060
OG0000201	AF303741.1_00177	LS484712.1_00163
OG0000202	AF303741.1_00184	LS484712.1_00120
OG0000203	AF303741.1_00193	LS484712.1_00106
OG0000214	AF303741.1_00008	LS484712.1_00052
OG0000221	AF303741.1_00074	LS484712.1_00233
