Orthogroup	AF303741.1	OQ475017.1
OG0000000	AF303741.1_00079, AF303741.1_00152	OQ475017.1_00030
OG0000001	AF303741.1_00200, AF303741.1_00047	OQ475017.1_00008
OG0000002	AF303741.1_00125	OQ475017.1_00007
OG0000003	AF303741.1_00035	OQ475017.1_00015
OG0000004	AF303741.1_00080	OQ475017.1_00110
OG0000005	AF303741.1_00129	OQ475017.1_00093
OG0000006	AF303741.1_00132	OQ475017.1_00073
OG0000007	AF303741.1_00149	OQ475017.1_00087
OG0000008	AF303741.1_00165	OQ475017.1_00029
OG0000009	AF303741.1_00176	OQ475017.1_00112
OG0000011	AF303741.1_00006	OQ475017.1_00062
OG0000012	AF303741.1_00011	OQ475017.1_00022
OG0000013	AF303741.1_00023	OQ475017.1_00056
OG0000014	AF303741.1_00026	OQ475017.1_00120
OG0000015	AF303741.1_00046	OQ475017.1_00121
OG0000016	AF303741.1_00062	OQ475017.1_00084
OG0000017	AF303741.1_00063	OQ475017.1_00033
OG0000018	AF303741.1_00081	OQ475017.1_00105
OG0000019	AF303741.1_00137	OQ475017.1_00083
OG0000020	AF303741.1_00156	OQ475017.1_00031
OG0000021	AF303741.1_00158	OQ475017.1_00005
OG0000022	AF303741.1_00189	OQ475017.1_00035
OG0000023	AF303741.1_00154	OQ475017.1_00044
OG0000024	AF303741.1_00168	OQ475017.1_00027
OG0000025	AF303741.1_00051	OQ475017.1_00063
