Orthogroup	AF303741.1	ON743042.1
OG0000000	AF303741.1_00079, AF303741.1_00152	ON743042.1_00031
OG0000001	AF303741.1_00200, AF303741.1_00047	ON743042.1_00008
OG0000002	AF303741.1_00125	ON743042.1_00007
OG0000003	AF303741.1_00035	ON743042.1_00015
OG0000004	AF303741.1_00080	ON743042.1_00113
OG0000005	AF303741.1_00129	ON743042.1_00096
OG0000006	AF303741.1_00132	ON743042.1_00077
OG0000007	AF303741.1_00149	ON743042.1_00091
OG0000008	AF303741.1_00165	ON743042.1_00030
OG0000009	AF303741.1_00176	ON743042.1_00115
OG0000011	AF303741.1_00006	ON743042.1_00065
OG0000012	AF303741.1_00011	ON743042.1_00022
OG0000013	AF303741.1_00023	ON743042.1_00059
OG0000014	AF303741.1_00026	ON743042.1_00123
OG0000015	AF303741.1_00046	ON743042.1_00124
OG0000016	AF303741.1_00062	ON743042.1_00088
OG0000017	AF303741.1_00063	ON743042.1_00034
OG0000018	AF303741.1_00081	ON743042.1_00108
OG0000019	AF303741.1_00137	ON743042.1_00087
OG0000020	AF303741.1_00156	ON743042.1_00032
OG0000021	AF303741.1_00158	ON743042.1_00005
OG0000022	AF303741.1_00189	ON743042.1_00036
OG0000023	AF303741.1_00154	ON743042.1_00046
OG0000024	AF303741.1_00168	ON743042.1_00027
OG0000025	AF303741.1_00051	ON743042.1_00066
