Orthogroup	AF303741.1	L63545.1
OG0000000	AF303741.1_00079, AF303741.1_00152	L63545.1_00007
OG0000001	AF303741.1_00200, AF303741.1_00047	L63545.1_00035
OG0000002	AF303741.1_00125	L63545.1_00079
OG0000003	AF303741.1_00035	L63545.1_00076
OG0000004	AF303741.1_00080	L63545.1_00001
OG0000005	AF303741.1_00129	L63545.1_00056
OG0000006	AF303741.1_00132	L63545.1_00093
OG0000007	AF303741.1_00149	L63545.1_00090
OG0000008	AF303741.1_00165	L63545.1_00108
OG0000009	AF303741.1_00176	L63545.1_00024
OG0000011	AF303741.1_00006	L63545.1_00069
OG0000012	AF303741.1_00011	L63545.1_00071
OG0000013	AF303741.1_00023	L63545.1_00004
OG0000014	AF303741.1_00026	L63545.1_00030
OG0000015	AF303741.1_00046	L63545.1_00110
OG0000016	AF303741.1_00062	L63545.1_00073
OG0000017	AF303741.1_00063	L63545.1_00072
OG0000018	AF303741.1_00081	L63545.1_00068
OG0000019	AF303741.1_00137	L63545.1_00009
OG0000020	AF303741.1_00156	L63545.1_00098
OG0000021	AF303741.1_00158	L63545.1_00043
OG0000022	AF303741.1_00189	L63545.1_00013
OG0000023	AF303741.1_00154	L63545.1_00054
OG0000024	AF303741.1_00168	L63545.1_00015
OG0000113	AF303741.1_00169	L63545.1_00088, L63545.1_00051, L63545.1_00047, L63545.1_00050
OG0000113	AF303741.1_00170	L63545.1_00005
OG0000134	AF303741.1_00126	L63545.1_00092
OG0000135	AF303741.1_00157	L63545.1_00016
OG0000137	AF303741.1_00031	L63545.1_00100
OG0000138	AF303741.1_00100, AF303741.1_00162	L63545.1_00023
OG0000155	AF303741.1_00183	L63545.1_00012
