Orthogroup	AF303741.1	OK042108.1
OG0000000	AF303741.1_00079, AF303741.1_00152	OK042108.1_00047
OG0000001	AF303741.1_00200, AF303741.1_00047	OK042108.1_00068
OG0000002	AF303741.1_00125	OK042108.1_00069
OG0000003	AF303741.1_00035	OK042108.1_00062
OG0000004	AF303741.1_00080	OK042108.1_00087
OG0000005	AF303741.1_00129	OK042108.1_00104
OG0000006	AF303741.1_00132	OK042108.1_00001
OG0000007	AF303741.1_00149	OK042108.1_00109
OG0000008	AF303741.1_00165	OK042108.1_00048
OG0000009	AF303741.1_00176	OK042108.1_00085
OG0000011	AF303741.1_00006	OK042108.1_00013
OG0000012	AF303741.1_00011	OK042108.1_00055
OG0000013	AF303741.1_00023	OK042108.1_00020
OG0000014	AF303741.1_00026	OK042108.1_00077
OG0000015	AF303741.1_00046	OK042108.1_00076
OG0000016	AF303741.1_00062	OK042108.1_00112
OG0000017	AF303741.1_00063	OK042108.1_00044
OG0000018	AF303741.1_00081	OK042108.1_00092
OG0000019	AF303741.1_00137	OK042108.1_00113
OG0000020	AF303741.1_00156	OK042108.1_00046
OG0000021	AF303741.1_00158	OK042108.1_00070
OG0000022	AF303741.1_00189	OK042108.1_00042
OG0000023	AF303741.1_00154	OK042108.1_00033
OG0000024	AF303741.1_00168	OK042108.1_00050
OG0000025	AF303741.1_00051	OK042108.1_00012
