Orthogroup	AF303741.1	OM037668.1
OG0000000	AF303741.1_00079, AF303741.1_00152	OM037668.1_00035
OG0000001	AF303741.1_00200, AF303741.1_00047	OM037668.1_00056
OG0000002	AF303741.1_00125	OM037668.1_00057
OG0000003	AF303741.1_00035	OM037668.1_00050
OG0000004	AF303741.1_00080	OM037668.1_00076
OG0000005	AF303741.1_00129	OM037668.1_00080
OG0000006	AF303741.1_00132	OM037668.1_00021
OG0000007	AF303741.1_00149	OM037668.1_00084
OG0000008	AF303741.1_00165	OM037668.1_00038
OG0000009	AF303741.1_00176	OM037668.1_00077
OG0000011	AF303741.1_00006	OM037668.1_00009
OG0000012	AF303741.1_00011	OM037668.1_00041
OG0000013	AF303741.1_00023	OM037668.1_00098
OG0000014	AF303741.1_00026	OM037668.1_00078
OG0000015	AF303741.1_00046	OM037668.1_00004
OG0000016	AF303741.1_00062	OM037668.1_00089
OG0000017	AF303741.1_00063	OM037668.1_00124
OG0000018	AF303741.1_00081	OM037668.1_00073
OG0000019	AF303741.1_00137	OM037668.1_00090
OG0000020	AF303741.1_00156	OM037668.1_00123
OG0000021	AF303741.1_00158	OM037668.1_00013
OG0000022	AF303741.1_00189	OM037668.1_00127
OG0000023	AF303741.1_00154	OM037668.1_00113
OG0000024	AF303741.1_00168	OM037668.1_00064
OG0000025	AF303741.1_00051	OM037668.1_00024
OG0000139	AF303741.1_00101	OM037668.1_00068
OG0000164	AF303741.1_00009	OM037668.1_00022
OG0000173	AF303741.1_00117	OM037668.1_00023
