Orthogroup	AF303741.1	MK098185.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MK098185.1_00033
OG0000001	AF303741.1_00200, AF303741.1_00047	MK098185.1_00008
OG0000002	AF303741.1_00125	MK098185.1_00007
OG0000003	AF303741.1_00035	MK098185.1_00015
OG0000004	AF303741.1_00080	MK098185.1_00112
OG0000005	AF303741.1_00129	MK098185.1_00095
OG0000006	AF303741.1_00132	MK098185.1_00076
OG0000007	AF303741.1_00149	MK098185.1_00090
OG0000008	AF303741.1_00165	MK098185.1_00032
OG0000009	AF303741.1_00176	MK098185.1_00114
OG0000011	AF303741.1_00006	MK098185.1_00064
OG0000012	AF303741.1_00011	MK098185.1_00022
OG0000013	AF303741.1_00023	MK098185.1_00058
OG0000014	AF303741.1_00026	MK098185.1_00122
OG0000015	AF303741.1_00046	MK098185.1_00123
OG0000016	AF303741.1_00062	MK098185.1_00087
OG0000017	AF303741.1_00063	MK098185.1_00036
OG0000018	AF303741.1_00081	MK098185.1_00107
OG0000019	AF303741.1_00137	MK098185.1_00086
OG0000020	AF303741.1_00156	MK098185.1_00034
OG0000021	AF303741.1_00158	MK098185.1_00005
OG0000022	AF303741.1_00189	MK098185.1_00038
OG0000023	AF303741.1_00154	MK098185.1_00047
OG0000024	AF303741.1_00168	MK098185.1_00029
OG0000025	AF303741.1_00051	MK098185.1_00065
