Orthogroup	AF303741.1	NC_005946.1
OG0000000	AF303741.1_00079, AF303741.1_00152	NC_005946.1_00010
OG0000001	AF303741.1_00200, AF303741.1_00047	NC_005946.1_00053
OG0000002	AF303741.1_00125	NC_005946.1_00091
OG0000003	AF303741.1_00035	NC_005946.1_00057
OG0000004	AF303741.1_00080	NC_005946.1_00028
OG0000005	AF303741.1_00129	NC_005946.1_00014
OG0000006	AF303741.1_00132	NC_005946.1_00042
OG0000007	AF303741.1_00149	NC_005946.1_00002
OG0000008	AF303741.1_00165	NC_005946.1_00095
OG0000009	AF303741.1_00176	NC_005946.1_00092
OG0000011	AF303741.1_00006	NC_005946.1_00011
OG0000012	AF303741.1_00011	NC_005946.1_00060
OG0000013	AF303741.1_00023	NC_005946.1_00022
OG0000014	AF303741.1_00026	NC_005946.1_00016
OG0000015	AF303741.1_00046	NC_005946.1_00021
OG0000016	AF303741.1_00062	NC_005946.1_00082
OG0000017	AF303741.1_00063	NC_005946.1_00087
OG0000018	AF303741.1_00081	NC_005946.1_00023
OG0000019	AF303741.1_00137	NC_005946.1_00094
OG0000020	AF303741.1_00156	NC_005946.1_00083
OG0000021	AF303741.1_00158	NC_005946.1_00038
OG0000022	AF303741.1_00189	NC_005946.1_00061
OG0000023	AF303741.1_00154	NC_005946.1_00089
OG0000024	AF303741.1_00168	NC_005946.1_00067
OG0000113	AF303741.1_00169	NC_005946.1_00020
OG0000134	AF303741.1_00126	NC_005946.1_00001
OG0000135	AF303741.1_00157	NC_005946.1_00079
OG0000137	AF303741.1_00031	NC_005946.1_00039
OG0000148	AF303741.1_00072	NC_005946.1_00054
OG0000156	AF303741.1_00192	NC_005946.1_00063
OG0000172	AF303741.1_00105	NC_005946.1_00004
