Orthogroup	AF303741.1	KT804738.1
OG0000000	AF303741.1_00079, AF303741.1_00152	KT804738.1_00029
OG0000001	AF303741.1_00200, AF303741.1_00047	KT804738.1_00008
OG0000002	AF303741.1_00125	KT804738.1_00007
OG0000003	AF303741.1_00035	KT804738.1_00015
OG0000004	AF303741.1_00080	KT804738.1_00109
OG0000005	AF303741.1_00129	KT804738.1_00092
OG0000006	AF303741.1_00132	KT804738.1_00072
OG0000007	AF303741.1_00149	KT804738.1_00086
OG0000008	AF303741.1_00165	KT804738.1_00028
OG0000009	AF303741.1_00176	KT804738.1_00111
OG0000011	AF303741.1_00006	KT804738.1_00060
OG0000012	AF303741.1_00011	KT804738.1_00021
OG0000013	AF303741.1_00023	KT804738.1_00055
OG0000014	AF303741.1_00026	KT804738.1_00119
OG0000015	AF303741.1_00046	KT804738.1_00120
OG0000016	AF303741.1_00062	KT804738.1_00083
OG0000017	AF303741.1_00063	KT804738.1_00032
OG0000018	AF303741.1_00081	KT804738.1_00104
OG0000019	AF303741.1_00137	KT804738.1_00082
OG0000020	AF303741.1_00156	KT804738.1_00030
OG0000021	AF303741.1_00158	KT804738.1_00005
OG0000022	AF303741.1_00189	KT804738.1_00034
OG0000023	AF303741.1_00154	KT804738.1_00043
OG0000024	AF303741.1_00168	KT804738.1_00025
OG0000025	AF303741.1_00051	KT804738.1_00061
