Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46
,AF303741.1,AF371960.1,AY521625.1,AY532606.1,AY779031.1,AY894343.1,BD143114.1,GQ273492.1,HF920633.1,HF920637.1,KC244182.1,KF938901.1,KT804738.1,L63545.1,LS484712.1,MF599468.1,MG570131.1,MG570132.1,MK098185.1,MK098186.1,MK098187.1,MK689685.1,MK689686.1,MN432490.1,MN562489.1,MN803438.1,MT521409.1,MT798582.1,MT926123.1,MT986830.1,MW139932.1,NC_005946.1,NC_027778.1,OK042108.1,OK042109.1,OL310752.1,OL774653.1,OL774654.1,OL774655.1,OM037668.1,ON075463.1,ON740976.1,ON743042.1,OP009387.1,OQ475017.1
Number of genes,204,123,141,127,131,125,123,120,178,221,123,158,121,110,281,175,120,120,124,121,124,120,122,124,135,145,136,125,122,127,125,97,135,122,123,124,124,123,125,133,120,123,125,123,122
Number of genes in orthogroups,165,123,96,124,127,125,123,118,153,173,123,133,121,101,122,109,118,120,124,121,124,120,122,124,135,118,135,124,122,126,125,71,133,122,123,122,124,123,125,133,120,123,125,122,122
Number of unassigned genes,39,0,45,3,4,0,0,2,25,48,0,25,0,9,159,66,2,0,0,0,0,0,0,0,0,27,1,1,0,1,0,26,2,0,0,2,0,0,0,0,0,0,0,1,0
Percentage of genes in orthogroups,80.9,100.0,68.1,97.6,96.9,100.0,100.0,98.3,86.0,78.3,100.0,84.2,100.0,91.8,43.4,62.3,98.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.4,99.3,99.2,100.0,99.2,100.0,73.2,98.5,100.0,100.0,98.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.2,100.0
Percentage of unassigned genes,19.1,0.0,31.9,2.4,3.1,0.0,0.0,1.7,14.0,21.7,0.0,15.8,0.0,8.2,56.6,37.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.7,0.8,0.0,0.8,0.0,26.8,1.5,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
Number of orthogroups containing species,144,123,77,120,120,124,121,118,131,139,123,119,121,94,69,69,117,119,124,121,124,120,122,124,128,102,128,122,122,126,125,70,122,122,123,118,124,123,125,126,120,123,124,122,122
Percentage of orthogroups containing species,30.6,26.1,16.3,25.5,25.5,26.3,25.7,25.1,27.8,29.5,26.1,25.3,25.7,20.0,14.6,14.6,24.8,25.3,26.3,25.7,26.3,25.5,25.9,26.3,27.2,21.7,27.2,25.9,25.9,26.8,26.5,14.9,25.9,25.9,26.1,25.1,26.3,26.1,26.5,26.8,25.5,26.1,26.3,25.9,25.9
Number of species-specific orthogroups,0,0,5,0,0,0,0,0,0,4,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Number of genes in species-specific orthogroups,0,0,23,0,0,0,0,0,0,8,0,0,0,0,70,24,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Percentage of genes in species-specific orthogroups,0.0,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,24.9,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of genes per-species in orthogroup,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups,Number of orthogroups
'0,327,348,394,351,351,347,350,353,340,332,348,352,350,377,402,402,354,352,347,350,347,351,349,347,343,369,343,349,349,345,346,401,349,349,348,353,347,348,346,345,351,348,347,349,349
'1,131,123,71,116,114,123,119,118,122,122,123,113,121,92,50,57,116,118,124,121,124,120,122,124,123,93,123,120,122,126,125,69,116,122,123,114,124,123,125,121,120,123,123,122,122
'2,9,0,3,4,5,1,2,0,4,10,0,4,0,0,9,8,1,1,0,0,0,0,0,0,3,6,3,2,0,0,0,1,3,0,0,4,0,0,0,3,0,0,1,0,0
'3,2,0,0,0,1,0,0,0,1,4,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
'4,1,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'7,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1001+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of genes per-species in orthogroup,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups,Percentage of orthogroups
