Orthogroup	MCV_ML1_SDDV_MT521409.1	Rana_FV3_NC_005946.1
OG0000000	MCV_ML1_SDDV_MT521409.1_00103	Rana_FV3_NC_005946.1_00010
OG0000001	MCV_ML1_SDDV_MT521409.1_00081	Rana_FV3_NC_005946.1_00091
OG0000002	MCV_ML1_SDDV_MT521409.1_00082	Rana_FV3_NC_005946.1_00053
OG0000003	MCV_ML1_SDDV_MT521409.1_00088	Rana_FV3_NC_005946.1_00057
OG0000004	MCV_ML1_SDDV_MT521409.1_00061	Rana_FV3_NC_005946.1_00028
OG0000005	MCV_ML1_SDDV_MT521409.1_00053	Rana_FV3_NC_005946.1_00002
OG0000006	MCV_ML1_SDDV_MT521409.1_00100	Rana_FV3_NC_005946.1_00095
OG0000007	MCV_ML1_SDDV_MT521409.1_00117	Rana_FV3_NC_005946.1_00042
OG0000008	MCV_ML1_SDDV_MT521409.1_00060	Rana_FV3_NC_005946.1_00092
OG0000009	MCV_ML1_SDDV_MT521409.1_00057	Rana_FV3_NC_005946.1_00014
OG0000011	MCV_ML1_SDDV_MT521409.1_00047	Rana_FV3_NC_005946.1_00094
OG0000012	MCV_ML1_SDDV_MT521409.1_00008	Rana_FV3_NC_005946.1_00061
OG0000013	MCV_ML1_SDDV_MT521409.1_00064	Rana_FV3_NC_005946.1_00023
OG0000014	MCV_ML1_SDDV_MT521409.1_00048	Rana_FV3_NC_005946.1_00082
OG0000015	MCV_ML1_SDDV_MT521409.1_00012	Rana_FV3_NC_005946.1_00083
OG0000016	MCV_ML1_SDDV_MT521409.1_00097	Rana_FV3_NC_005946.1_00060
OG0000017	MCV_ML1_SDDV_MT521409.1_00039	Rana_FV3_NC_005946.1_00022
OG0000018	MCV_ML1_SDDV_MT521409.1_00059	Rana_FV3_NC_005946.1_00016
OG0000019	MCV_ML1_SDDV_MT521409.1_00129	Rana_FV3_NC_005946.1_00011
OG0000020	MCV_ML1_SDDV_MT521409.1_00134	Rana_FV3_NC_005946.1_00021
OG0000021	MCV_ML1_SDDV_MT521409.1_00011	Rana_FV3_NC_005946.1_00087
OG0000022	MCV_ML1_SDDV_MT521409.1_00125	Rana_FV3_NC_005946.1_00038
OG0000023	MCV_ML1_SDDV_MT521409.1_00024	Rana_FV3_NC_005946.1_00089
OG0000024	MCV_ML1_SDDV_MT521409.1_00074	Rana_FV3_NC_005946.1_00067
OG0000026	MCV_ML1_SDDV_MT521409.1_00063	Rana_FV3_NC_005946.1_00086
OG0000027	MCV_ML1_SDDV_MT521409.1_00050	Rana_FV3_NC_005946.1_00049
OG0000028	MCV_ML1_SDDV_MT521409.1_00027	Rana_FV3_NC_005946.1_00085
OG0000150	MCV_ML1_SDDV_MT521409.1_00137	Rana_FV3_NC_005946.1_00052
OG0000209	MCV_ML1_SDDV_MT521409.1_00075	Rana_FV3_NC_005946.1_00007
