Orthogroup	MN803438	AY894343
OG0000000	MN803438.1_00124 hypothetical protein	MK689686.1_00029 hypothetical protein
OG0000001	MN803438.1_00113 hypothetical protein	MK689686.1_00014 hypothetical protein
OG0000002	MN803438.1_00101 hypothetical protein	MK689686.1_00008 hypothetical protein
OG0000003	MN803438.1_00106 hypothetical protein	MK689686.1_00028 hypothetical protein
OG0000004	MN803438.1_00109 hypothetical protein	MK689686.1_00112 hypothetical protein
OG0000005	MN803438.1_00049 hypothetical protein	MK689686.1_00062 hypothetical protein
OG0000006	MN803438.1_00128 hypothetical protein	MK689686.1_00021 hypothetical protein
OG0000007	MN803438.1_00007 hypothetical protein	MK689686.1_00056 hypothetical protein
OG0000008	MN803438.1_00070 hypothetical protein	MK689686.1_00120 hypothetical protein
OG0000009	MN803438.1_00046 hypothetical protein	MK689686.1_00121 hypothetical protein
OG0000010	MN803438.1_00035 hypothetical protein	MK689686.1_00032 hypothetical protein
OG0000011	MN803438.1_00051 hypothetical protein	MK689686.1_00105 hypothetical protein
OG0000012	MN803438.1_00023 Major capsid protein	MK689686.1_00007 Major capsid protein
OG0000013	MN803438.1_00097 hypothetical protein	MK689686.1_00084 hypothetical protein
OG0000014	MN803438.1_00027 hypothetical protein	MK689686.1_00088 hypothetical protein
OG0000015	MN803438.1_00068 hypothetical protein	MK689686.1_00030 hypothetical protein
OG0000016	MN803438.1_00089 hypothetical protein	MK689686.1_00005 hypothetical protein
OG0000017	MN803438.1_00013 hypothetical protein	MK689686.1_00034 DNA-directed RNA polymerase subunit 2
OG0000018	MN803438.1_00122 hypothetical protein	MK689686.1_00085 hypothetical protein
OG0000019	MN803438.1_00104 hypothetical protein	MK689686.1_00110 hypothetical protein
OG0000020	MN803438.1_00071 hypothetical protein	MK689686.1_00093 hypothetical protein
OG0000021	MN803438.1_00024 hypothetical protein	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain
OG0000022	MN803438.1_00077 hypothetical protein	MK689686.1_00043 hypothetical protein
OG0000023	MN803438.1_00142 hypothetical protein	MK689686.1_00074 hypothetical protein
OG0000025	MN803438.1_00145 hypothetical protein	MK689686.1_00006 hypothetical protein
OG0000027	MN803438.1_00037 hypothetical protein	MK689686.1_00086 hypothetical protein
OG0000028	MN803438.1_00126 hypothetical protein	MK689686.1_00108 hypothetical protein
OG0000029	MN803438.1_00054 hypothetical protein	MK689686.1_00046 hypothetical protein
