Orthogroup	MN803438	NC_005946
OG0000000	MN803438.1_00124 hypothetical protein	NC_005946.1_00010 hypothetical protein
OG0000001	MN803438.1_00113 hypothetical protein	NC_005946.1_00057 hypothetical protein
OG0000002	MN803438.1_00101 hypothetical protein	NC_005946.1_00053 hypothetical protein
OG0000003	MN803438.1_00106 hypothetical protein	NC_005946.1_00095 hypothetical protein
OG0000004	MN803438.1_00109 hypothetical protein	NC_005946.1_00092 hypothetical protein
OG0000005	MN803438.1_00049 hypothetical protein	NC_005946.1_00011 hypothetical protein
OG0000006	MN803438.1_00128 hypothetical protein	NC_005946.1_00060 hypothetical protein
OG0000007	MN803438.1_00007 hypothetical protein	NC_005946.1_00022 hypothetical protein
OG0000008	MN803438.1_00070 hypothetical protein	NC_005946.1_00016 hypothetical protein
OG0000009	MN803438.1_00046 hypothetical protein	NC_005946.1_00021 hypothetical protein
OG0000010	MN803438.1_00035 hypothetical protein	NC_005946.1_00087 hypothetical protein
OG0000011	MN803438.1_00051 hypothetical protein	NC_005946.1_00023 hypothetical protein
OG0000012	MN803438.1_00023 Major capsid protein	NC_005946.1_00091 Major capsid protein
OG0000013	MN803438.1_00097 hypothetical protein	NC_005946.1_00094 hypothetical protein
OG0000014	MN803438.1_00027 hypothetical protein	NC_005946.1_00002 hypothetical protein
OG0000015	MN803438.1_00068 hypothetical protein	NC_005946.1_00083 hypothetical protein
OG0000016	MN803438.1_00089 hypothetical protein	NC_005946.1_00038 hypothetical protein
OG0000017	MN803438.1_00013 hypothetical protein	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000018	MN803438.1_00122 hypothetical protein	NC_005946.1_00082 hypothetical protein
OG0000019	MN803438.1_00104 hypothetical protein	NC_005946.1_00028 hypothetical protein
OG0000020	MN803438.1_00071 hypothetical protein	NC_005946.1_00014 hypothetical protein
OG0000021	MN803438.1_00024 hypothetical protein	NC_005946.1_00067 hypothetical protein
OG0000022	MN803438.1_00077 hypothetical protein	NC_005946.1_00089 hypothetical protein
OG0000023	MN803438.1_00142 hypothetical protein	NC_005946.1_00042 hypothetical protein
OG0000027	MN803438.1_00037 hypothetical protein	NC_005946.1_00049 hypothetical protein
OG0000028	MN803438.1_00126 hypothetical protein	NC_005946.1_00086 hypothetical protein
OG0000029	MN803438.1_00054 hypothetical protein	NC_005946.1_00085 hypothetical protein
OG0000114	MN803438.1_00112 hypothetical protein, MN803438.1_00021 hypothetical protein, MN803438.1_00120 hypothetical protein, MN803438.1_00012 hypothetical protein	NC_005946.1_00020 hypothetical protein
OG0000130	MN803438.1_00115 hypothetical protein	NC_005946.1_00001 hypothetical protein
OG0000133	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit
OG0000148	MN803438.1_00010 hypothetical protein	NC_005946.1_00052 hypothetical protein
OG0000150	MN803438.1_00003 hypothetical protein	NC_005946.1_00044 hypothetical protein
OG0000153	MN803438.1_00078 hypothetical protein	NC_005946.1_00075 hypothetical protein
OG0000167	MN803438.1_00028 hypothetical protein	NC_005946.1_00026 hypothetical protein
OG0000168	MN803438.1_00030 hypothetical protein	NC_005946.1_00033 hypothetical protein
OG0000169	MN803438.1_00092 hypothetical protein	NC_005946.1_00029 hypothetical protein
OG0000195	MN803438.1_00044 hypothetical protein	NC_005946.1_00062 hypothetical protein
OG0000218	MN803438.1_00110 hypothetical protein	NC_005946.1_00051 hypothetical protein
OG0000220	MN803438.1_00008 hypothetical protein	NC_005946.1_00088 hypothetical protein
OG0000221	MN803438.1_00026 hypothetical protein	NC_005946.1_00096 hypothetical protein
OG0000222	MN803438.1_00136 hypothetical protein	NC_005946.1_00015 hypothetical protein
OG0000223	MN803438.1_00099 hypothetical protein	NC_005946.1_00073 hypothetical protein
