Orthogroup	MN803438	OQ475017
OG0000000	MN803438.1_00124 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	MN803438.1_00113 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000002	MN803438.1_00101 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000003	MN803438.1_00106 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	MN803438.1_00109 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000005	MN803438.1_00049 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000006	MN803438.1_00128 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000007	MN803438.1_00007 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000008	MN803438.1_00070 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000009	MN803438.1_00046 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000010	MN803438.1_00035 hypothetical protein	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000011	MN803438.1_00051 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000012	MN803438.1_00023 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000013	MN803438.1_00097 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000014	MN803438.1_00027 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000015	MN803438.1_00068 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000016	MN803438.1_00089 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000017	MN803438.1_00013 hypothetical protein	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	MN803438.1_00122 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000019	MN803438.1_00104 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000020	MN803438.1_00071 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000021	MN803438.1_00024 hypothetical protein	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000022	MN803438.1_00077 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000023	MN803438.1_00142 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000025	MN803438.1_00145 hypothetical protein	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation
OG0000027	MN803438.1_00037 hypothetical protein	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation
OG0000028	MN803438.1_00126 hypothetical protein	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation
OG0000029	MN803438.1_00054 hypothetical protein	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation
