Orthogroup	MCV_Unclassified_MG570131.1	Irido_IIV31_HF920637.1
OG0000000	MCV_Unclassified_MG570131.1_00031	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164
OG0000001	MCV_Unclassified_MG570131.1_00008, MCV_Unclassified_MG570131.1_00007	Irido_IIV31_HF920637.1_00143
OG0000002	MCV_Unclassified_MG570131.1_00009	Irido_IIV31_HF920637.1_00059
OG0000003	MCV_Unclassified_MG570131.1_00016	Irido_IIV31_HF920637.1_00159
OG0000004	MCV_Unclassified_MG570131.1_00108	Irido_IIV31_HF920637.1_00025
OG0000005	MCV_Unclassified_MG570131.1_00087	Irido_IIV31_HF920637.1_00172
OG0000006	MCV_Unclassified_MG570131.1_00030	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	MCV_Unclassified_MG570131.1_00073	Irido_IIV31_HF920637.1_00121
OG0000008	MCV_Unclassified_MG570131.1_00110	Irido_IIV31_HF920637.1_00153
OG0000009	MCV_Unclassified_MG570131.1_00092	Irido_IIV31_HF920637.1_00221
OG0000011	MCV_Unclassified_MG570131.1_00083	Irido_IIV31_HF920637.1_00197
OG0000012	MCV_Unclassified_MG570131.1_00036	Irido_IIV31_HF920637.1_00213
OG0000013	MCV_Unclassified_MG570131.1_00103	Irido_IIV31_HF920637.1_00111
OG0000014	MCV_Unclassified_MG570131.1_00084	Irido_IIV31_HF920637.1_00079
OG0000015	MCV_Unclassified_MG570131.1_00032	Irido_IIV31_HF920637.1_00031
OG0000016	MCV_Unclassified_MG570131.1_00023	Irido_IIV31_HF920637.1_00001
OG0000017	MCV_Unclassified_MG570131.1_00057	Irido_IIV31_HF920637.1_00017
OG0000018	MCV_Unclassified_MG570131.1_00118	Irido_IIV31_HF920637.1_00108
OG0000019	MCV_Unclassified_MG570131.1_00063	Irido_IIV31_HF920637.1_00217
OG0000020	MCV_Unclassified_MG570131.1_00119	Irido_IIV31_HF920637.1_00152
OG0000021	MCV_Unclassified_MG570131.1_00034	Irido_IIV31_HF920637.1_00073
OG0000022	MCV_Unclassified_MG570131.1_00005	Irido_IIV31_HF920637.1_00041
OG0000023	MCV_Unclassified_MG570131.1_00045	Irido_IIV31_HF920637.1_00033
OG0000024	MCV_Unclassified_MG570131.1_00027	Irido_IIV31_HF920637.1_00061
OG0000025	MCV_Unclassified_MG570131.1_00064	Irido_IIV31_HF920637.1_00156
OG0000030	MCV_Unclassified_MG570131.1_00006	Irido_IIV31_HF920637.1_00127
