Orthogroup	LS484712.1	AY521625.1
OG0000000	LS484712.1_00114	AY521625.1_00091
OG0000001	LS484712.1_00095	AY521625.1_00077
OG0000002	LS484712.1_00142	AY521625.1_00064
OG0000003	LS484712.1_00187	AY521625.1_00130
OG0000005	LS484712.1_00256	AY521625.1_00100
OG0000006	LS484712.1_00040	AY521625.1_00051
OG0000007	LS484712.1_00234, LS484712.1_00050	AY521625.1_00016
OG0000008	LS484712.1_00248	AY521625.1_00085
OG0000009	LS484712.1_00130	AY521625.1_00142
OG0000011	LS484712.1_00203	AY521625.1_00053
OG0000012	LS484712.1_00200	AY521625.1_00110
OG0000013	LS484712.1_00143	AY521625.1_00048
OG0000014	LS484712.1_00202	AY521625.1_00115
OG0000015	LS484712.1_00135	AY521625.1_00035
OG0000016	LS484712.1_00048	AY521625.1_00073
OG0000017	LS484712.1_00240	AY521625.1_00059
OG0000018	LS484712.1_00053	AY521625.1_00047
OG0000019	LS484712.1_00192	AY521625.1_00086
OG0000020	LS484712.1_00188	AY521625.1_00074
OG0000021	LS484712.1_00096	AY521625.1_00054
OG0000022	LS484712.1_00194	AY521625.1_00065
OG0000023	LS484712.1_00117	AY521625.1_00062
OG0000024	LS484712.1_00149	AY521625.1_00042
OG0000134	LS484712.1_00057	AY521625.1_00098
OG0000135	LS484712.1_00197	AY521625.1_00102
OG0000137	LS484712.1_00251	AY521625.1_00056
OG0000148	LS484712.1_00133	AY521625.1_00133
