Orthogroup	LS484712.1	OL310752.1
OG0000000	LS484712.1_00114	OL310752.1_00108, OL310752.1_00113
OG0000001	LS484712.1_00095	OL310752.1_00018
OG0000002	LS484712.1_00142	OL310752.1_00019
OG0000003	LS484712.1_00187	OL310752.1_00012
OG0000005	LS484712.1_00256	OL310752.1_00036
OG0000006	LS484712.1_00040	OL310752.1_00078
OG0000007	LS484712.1_00234, LS484712.1_00050	OL310752.1_00042
OG0000008	LS484712.1_00248	OL310752.1_00107
OG0000009	LS484712.1_00130	OL310752.1_00116
OG0000011	LS484712.1_00203	OL310752.1_00027
OG0000012	LS484712.1_00200	OL310752.1_00004
OG0000013	LS484712.1_00143	OL310752.1_00096
OG0000014	LS484712.1_00202	OL310752.1_00071
OG0000015	LS484712.1_00135	OL310752.1_00072
OG0000016	LS484712.1_00048	OL310752.1_00045
OG0000017	LS484712.1_00240	OL310752.1_00085
OG0000018	LS484712.1_00053	OL310752.1_00065
OG0000019	LS484712.1_00192	OL310752.1_00046
OG0000020	LS484712.1_00188	OL310752.1_00114
OG0000021	LS484712.1_00096	OL310752.1_00021
OG0000022	LS484712.1_00194	OL310752.1_00083
OG0000023	LS484712.1_00117	OL310752.1_00052
OG0000024	LS484712.1_00149	OL310752.1_00104
OG0000068	LS484712.1_00002	OL310752.1_00031
