Orthogroup	LS484712.1	MN562489.1
OG0000000	LS484712.1_00114	MN562489.1_00102
OG0000001	LS484712.1_00095	MN562489.1_00081
OG0000002	LS484712.1_00142	MN562489.1_00080
OG0000003	LS484712.1_00187	MN562489.1_00087
OG0000005	LS484712.1_00256	MN562489.1_00056
OG0000006	LS484712.1_00040	MN562489.1_00116
OG0000007	LS484712.1_00234, LS484712.1_00050	MN562489.1_00052
OG0000008	LS484712.1_00248	MN562489.1_00099
OG0000009	LS484712.1_00130	MN562489.1_00059
OG0000011	LS484712.1_00203	MN562489.1_00128
OG0000012	LS484712.1_00200	MN562489.1_00096
OG0000013	LS484712.1_00143	MN562489.1_00038
OG0000014	LS484712.1_00202	MN562489.1_00058
OG0000015	LS484712.1_00135	MN562489.1_00133
OG0000016	LS484712.1_00048	MN562489.1_00047
OG0000017	LS484712.1_00240	MN562489.1_00011
OG0000018	LS484712.1_00053	MN562489.1_00063
OG0000019	LS484712.1_00192	MN562489.1_00046
OG0000020	LS484712.1_00188	MN562489.1_00012
OG0000021	LS484712.1_00096	MN562489.1_00124
OG0000022	LS484712.1_00194	MN562489.1_00008
OG0000023	LS484712.1_00117	MN562489.1_00023
OG0000024	LS484712.1_00149	MN562489.1_00073
OG0000211	LS484712.1_00024	MN562489.1_00120
