Orthogroup	LS484712.1	OL774654.1
OG0000000	LS484712.1_00114	OL774654.1_00031
OG0000001	LS484712.1_00095	OL774654.1_00008
OG0000002	LS484712.1_00142	OL774654.1_00007
OG0000003	LS484712.1_00187	OL774654.1_00015
OG0000005	LS484712.1_00256	OL774654.1_00094
OG0000006	LS484712.1_00040	OL774654.1_00075
OG0000007	LS484712.1_00234, LS484712.1_00050	OL774654.1_00089
OG0000008	LS484712.1_00248	OL774654.1_00030
OG0000009	LS484712.1_00130	OL774654.1_00113
OG0000011	LS484712.1_00203	OL774654.1_00063
OG0000012	LS484712.1_00200	OL774654.1_00022
OG0000013	LS484712.1_00143	OL774654.1_00057
OG0000014	LS484712.1_00202	OL774654.1_00121
OG0000015	LS484712.1_00135	OL774654.1_00122
OG0000016	LS484712.1_00048	OL774654.1_00086
OG0000017	LS484712.1_00240	OL774654.1_00034
OG0000018	LS484712.1_00053	OL774654.1_00106
OG0000019	LS484712.1_00192	OL774654.1_00085
OG0000020	LS484712.1_00188	OL774654.1_00032
OG0000021	LS484712.1_00096	OL774654.1_00005
OG0000022	LS484712.1_00194	OL774654.1_00036
OG0000023	LS484712.1_00117	OL774654.1_00045
OG0000024	LS484712.1_00149	OL774654.1_00027
OG0000068	LS484712.1_00002	OL774654.1_00067
