Orthogroup	LS484712.1	ON740976.1
OG0000000	LS484712.1_00114	ON740976.1_00030
OG0000001	LS484712.1_00095	ON740976.1_00008
OG0000002	LS484712.1_00142	ON740976.1_00007
OG0000003	LS484712.1_00187	ON740976.1_00014
OG0000005	LS484712.1_00256	ON740976.1_00094
OG0000006	LS484712.1_00040	ON740976.1_00075
OG0000007	LS484712.1_00234, LS484712.1_00050	ON740976.1_00089
OG0000008	LS484712.1_00248	ON740976.1_00029
OG0000009	LS484712.1_00130	ON740976.1_00113
OG0000011	LS484712.1_00203	ON740976.1_00063
OG0000012	LS484712.1_00200	ON740976.1_00021
OG0000013	LS484712.1_00143	ON740976.1_00057
OG0000014	LS484712.1_00202	ON740976.1_00121
OG0000015	LS484712.1_00135	ON740976.1_00122
OG0000016	LS484712.1_00048	ON740976.1_00086
OG0000017	LS484712.1_00240	ON740976.1_00033
OG0000018	LS484712.1_00053	ON740976.1_00106
OG0000019	LS484712.1_00192	ON740976.1_00085
OG0000020	LS484712.1_00188	ON740976.1_00031
OG0000021	LS484712.1_00096	ON740976.1_00005
OG0000022	LS484712.1_00194	ON740976.1_00035
OG0000023	LS484712.1_00117	ON740976.1_00044
OG0000024	LS484712.1_00149	ON740976.1_00026
OG0000068	LS484712.1_00002	ON740976.1_00067
