Orthogroup	LS484712.1	HF920637.1
OG0000000	LS484712.1_00114	HF920637.1_00129, HF920637.1_00164
OG0000001	LS484712.1_00095	HF920637.1_00059
OG0000002	LS484712.1_00142	HF920637.1_00143
OG0000003	LS484712.1_00187	HF920637.1_00159
OG0000005	LS484712.1_00256	HF920637.1_00221
OG0000006	LS484712.1_00040	HF920637.1_00121
OG0000007	LS484712.1_00234, LS484712.1_00050	HF920637.1_00172
OG0000008	LS484712.1_00248	HF920637.1_00176, HF920637.1_00175
OG0000009	LS484712.1_00130	HF920637.1_00153
OG0000011	LS484712.1_00203	HF920637.1_00217
OG0000012	LS484712.1_00200	HF920637.1_00001
OG0000013	LS484712.1_00143	HF920637.1_00017
OG0000014	LS484712.1_00202	HF920637.1_00108
OG0000015	LS484712.1_00135	HF920637.1_00152
OG0000016	LS484712.1_00048	HF920637.1_00079
OG0000017	LS484712.1_00240	HF920637.1_00073
OG0000018	LS484712.1_00053	HF920637.1_00111
OG0000019	LS484712.1_00192	HF920637.1_00197
OG0000020	LS484712.1_00188	HF920637.1_00031
OG0000021	LS484712.1_00096	HF920637.1_00041
OG0000022	LS484712.1_00194	HF920637.1_00213
OG0000023	LS484712.1_00117	HF920637.1_00033
OG0000024	LS484712.1_00149	HF920637.1_00061
OG0000123	LS484712.1_00198	HF920637.1_00029, HF920637.1_00198, HF920637.1_00147, HF920637.1_00218
OG0000134	LS484712.1_00057	HF920637.1_00219
OG0000135	LS484712.1_00197	HF920637.1_00014
OG0000137	LS484712.1_00251	HF920637.1_00105
OG0000138	LS484712.1_00063	HF920637.1_00181
OG0000148	LS484712.1_00133	HF920637.1_00060
OG0000153	LS484712.1_00211	HF920637.1_00011, HF920637.1_00180
OG0000166	LS484712.1_00116	HF920637.1_00056
OG0000167	LS484712.1_00113	HF920637.1_00140
OG0000168	LS484712.1_00140	HF920637.1_00095
OG0000169	LS484712.1_00195	HF920637.1_00049
OG0000170	LS484712.1_00212	HF920637.1_00120
OG0000171	LS484712.1_00112	HF920637.1_00045
OG0000174	LS484712.1_00184	HF920637.1_00067
OG0000193	LS484712.1_00196	HF920637.1_00019
OG0000195	LS484712.1_00224	HF920637.1_00043
OG0000198	LS484712.1_00060	HF920637.1_00070
OG0000201	LS484712.1_00163	HF920637.1_00035
OG0000202	LS484712.1_00120	HF920637.1_00009
OG0000203	LS484712.1_00106	HF920637.1_00149
OG0000214	LS484712.1_00052	HF920637.1_00215
OG0000411	LS484712.1_00006	HF920637.1_00113
