Orthogroup	LS484712.1	AY532606.1
OG0000000	LS484712.1_00114	AY532606.1_00030
OG0000001	LS484712.1_00095	AY532606.1_00007
OG0000002	LS484712.1_00142	AY532606.1_00006
OG0000003	LS484712.1_00187	AY532606.1_00014
OG0000005	LS484712.1_00256	AY532606.1_00099, AY532606.1_00098
OG0000006	LS484712.1_00040	AY532606.1_00078
OG0000007	LS484712.1_00234, LS484712.1_00050	AY532606.1_00093
OG0000008	LS484712.1_00248	AY532606.1_00029
OG0000009	LS484712.1_00130	AY532606.1_00120, AY532606.1_00119
OG0000011	LS484712.1_00203	AY532606.1_00064
OG0000012	LS484712.1_00200	AY532606.1_00020
OG0000013	LS484712.1_00143	AY532606.1_00057
OG0000014	LS484712.1_00202	AY532606.1_00125
OG0000015	LS484712.1_00135	AY532606.1_00126
OG0000016	LS484712.1_00048	AY532606.1_00089
OG0000017	LS484712.1_00240	AY532606.1_00033
OG0000018	LS484712.1_00053	AY532606.1_00111
OG0000019	LS484712.1_00192	AY532606.1_00088
OG0000020	LS484712.1_00188	AY532606.1_00031
OG0000021	LS484712.1_00096	AY532606.1_00004
OG0000022	LS484712.1_00194	AY532606.1_00035
OG0000024	LS484712.1_00149	AY532606.1_00026
OG0000068	LS484712.1_00002	AY532606.1_00069
