Orthogroup	ON743042.1	KC244182.1
OG0000000	ON743042.1_00031	KC244182.1_00029
OG0000001	ON743042.1_00008	KC244182.1_00008
OG0000002	ON743042.1_00007	KC244182.1_00007
OG0000003	ON743042.1_00015	KC244182.1_00014
OG0000004	ON743042.1_00113	KC244182.1_00112
OG0000005	ON743042.1_00096	KC244182.1_00095
OG0000006	ON743042.1_00077	KC244182.1_00076
OG0000007	ON743042.1_00091	KC244182.1_00090
OG0000008	ON743042.1_00030	KC244182.1_00028
OG0000009	ON743042.1_00115	KC244182.1_00114
OG0000010	ON743042.1_00078	KC244182.1_00077
OG0000011	ON743042.1_00065	KC244182.1_00063
OG0000012	ON743042.1_00022	KC244182.1_00022
OG0000013	ON743042.1_00059	KC244182.1_00056
OG0000014	ON743042.1_00123	KC244182.1_00121
OG0000015	ON743042.1_00124	KC244182.1_00122
OG0000016	ON743042.1_00088	KC244182.1_00087
OG0000017	ON743042.1_00034	KC244182.1_00032
OG0000018	ON743042.1_00108	KC244182.1_00107
OG0000019	ON743042.1_00087	KC244182.1_00086
OG0000020	ON743042.1_00032	KC244182.1_00030
OG0000021	ON743042.1_00005	KC244182.1_00005
OG0000022	ON743042.1_00036	KC244182.1_00034
OG0000023	ON743042.1_00046	KC244182.1_00043
OG0000024	ON743042.1_00027	KC244182.1_00025
OG0000025	ON743042.1_00066	KC244182.1_00064
OG0000026	ON743042.1_00111	KC244182.1_00110
OG0000027	ON743042.1_00089	KC244182.1_00088
OG0000028	ON743042.1_00049	KC244182.1_00046
OG0000029	ON743042.1_00063	KC244182.1_00061
OG0000030	ON743042.1_00001	KC244182.1_00001
OG0000031	ON743042.1_00006	KC244182.1_00006
OG0000032	ON743042.1_00082	KC244182.1_00081
OG0000033	ON743042.1_00090	KC244182.1_00089
OG0000034	ON743042.1_00125	KC244182.1_00123
OG0000035	ON743042.1_00013	KC244182.1_00012
OG0000036	ON743042.1_00014	KC244182.1_00013
OG0000037	ON743042.1_00019	KC244182.1_00018
OG0000038	ON743042.1_00020	KC244182.1_00019
OG0000039	ON743042.1_00023	KC244182.1_00023
OG0000040	ON743042.1_00024	KC244182.1_00024
OG0000041	ON743042.1_00033	KC244182.1_00031
OG0000042	ON743042.1_00037	KC244182.1_00035
OG0000043	ON743042.1_00051	KC244182.1_00048
OG0000044	ON743042.1_00052	KC244182.1_00049
OG0000045	ON743042.1_00057	KC244182.1_00054
OG0000046	ON743042.1_00058	KC244182.1_00055
OG0000047	ON743042.1_00060	KC244182.1_00057
OG0000048	ON743042.1_00061	KC244182.1_00058
OG0000049	ON743042.1_00062	KC244182.1_00060
OG0000050	ON743042.1_00079	KC244182.1_00078
OG0000051	ON743042.1_00083	KC244182.1_00082
OG0000052	ON743042.1_00084	KC244182.1_00083
OG0000053	ON743042.1_00095	KC244182.1_00094
OG0000054	ON743042.1_00097	KC244182.1_00096
OG0000055	ON743042.1_00100	KC244182.1_00099
OG0000056	ON743042.1_00112	KC244182.1_00111
OG0000057	ON743042.1_00117	KC244182.1_00116
OG0000058	ON743042.1_00119	KC244182.1_00118
OG0000059	ON743042.1_00002	KC244182.1_00002
OG0000060	ON743042.1_00010	KC244182.1_00010
OG0000061	ON743042.1_00018	KC244182.1_00017
OG0000062	ON743042.1_00092	KC244182.1_00091
OG0000063	ON743042.1_00074	KC244182.1_00072
OG0000064	ON743042.1_00017	KC244182.1_00016
OG0000065	ON743042.1_00040, ON743042.1_00039	KC244182.1_00037
OG0000066	ON743042.1_00044	KC244182.1_00041
OG0000067	ON743042.1_00048	KC244182.1_00045
OG0000068	ON743042.1_00069	KC244182.1_00066
OG0000069	ON743042.1_00099	KC244182.1_00098
OG0000070	ON743042.1_00101	KC244182.1_00100
OG0000071	ON743042.1_00116	KC244182.1_00115
OG0000072	ON743042.1_00009	KC244182.1_00009
OG0000073	ON743042.1_00012	KC244182.1_00011
OG0000074	ON743042.1_00016	KC244182.1_00015
OG0000075	ON743042.1_00035	KC244182.1_00033
OG0000076	ON743042.1_00038	KC244182.1_00036
OG0000077	ON743042.1_00042	KC244182.1_00039
OG0000078	ON743042.1_00043	KC244182.1_00040
OG0000079	ON743042.1_00047	KC244182.1_00044
OG0000080	ON743042.1_00053	KC244182.1_00050
OG0000081	ON743042.1_00054	KC244182.1_00051
OG0000082	ON743042.1_00055	KC244182.1_00052
OG0000083	ON743042.1_00064	KC244182.1_00062
OG0000084	ON743042.1_00067	KC244182.1_00065
OG0000085	ON743042.1_00070	KC244182.1_00067
OG0000086	ON743042.1_00071	KC244182.1_00068
OG0000087	ON743042.1_00075	KC244182.1_00073
OG0000088	ON743042.1_00076	KC244182.1_00074
OG0000089	ON743042.1_00085	KC244182.1_00084
OG0000090	ON743042.1_00086	KC244182.1_00085
OG0000091	ON743042.1_00098	KC244182.1_00097
OG0000092	ON743042.1_00102	KC244182.1_00101
OG0000093	ON743042.1_00106	KC244182.1_00105
OG0000094	ON743042.1_00109	KC244182.1_00108
OG0000095	ON743042.1_00110	KC244182.1_00109
OG0000097	ON743042.1_00003	KC244182.1_00003
OG0000098	ON743042.1_00004	KC244182.1_00004
OG0000099	ON743042.1_00041	KC244182.1_00038
OG0000100	ON743042.1_00045	KC244182.1_00042
OG0000101	ON743042.1_00072	KC244182.1_00070
OG0000102	ON743042.1_00080	KC244182.1_00079
OG0000103	ON743042.1_00103	KC244182.1_00102
OG0000104	ON743042.1_00107	KC244182.1_00106
OG0000105	ON743042.1_00118	KC244182.1_00117
OG0000106	ON743042.1_00029	KC244182.1_00027
OG0000107	ON743042.1_00104	KC244182.1_00103
OG0000108	ON743042.1_00122	KC244182.1_00120
OG0000109	ON743042.1_00073	KC244182.1_00071
OG0000110	ON743042.1_00120	KC244182.1_00119
OG0000111	ON743042.1_00094	KC244182.1_00093
OG0000112	ON743042.1_00081	KC244182.1_00080
OG0000114	ON743042.1_00021	KC244182.1_00021
OG0000116	ON743042.1_00056	KC244182.1_00053
OG0000120	ON743042.1_00105	KC244182.1_00104
OG0000121	ON743042.1_00114	KC244182.1_00113
OG0000130	ON743042.1_00050	KC244182.1_00047
