Orthogroup	ON743042.1	L63545.1
OG0000000	ON743042.1_00031	L63545.1_00007
OG0000001	ON743042.1_00008	L63545.1_00035
OG0000002	ON743042.1_00007	L63545.1_00079
OG0000003	ON743042.1_00015	L63545.1_00076
OG0000004	ON743042.1_00113	L63545.1_00001
OG0000005	ON743042.1_00096	L63545.1_00056
OG0000006	ON743042.1_00077	L63545.1_00093
OG0000007	ON743042.1_00091	L63545.1_00090
OG0000008	ON743042.1_00030	L63545.1_00108
OG0000009	ON743042.1_00115	L63545.1_00024
OG0000011	ON743042.1_00065	L63545.1_00069
OG0000012	ON743042.1_00022	L63545.1_00071
OG0000013	ON743042.1_00059	L63545.1_00004
OG0000014	ON743042.1_00123	L63545.1_00030
OG0000015	ON743042.1_00124	L63545.1_00110
OG0000016	ON743042.1_00088	L63545.1_00073
OG0000017	ON743042.1_00034	L63545.1_00072
OG0000018	ON743042.1_00108	L63545.1_00068
OG0000019	ON743042.1_00087	L63545.1_00009
OG0000020	ON743042.1_00032	L63545.1_00098
OG0000021	ON743042.1_00005	L63545.1_00043
OG0000022	ON743042.1_00036	L63545.1_00013
OG0000023	ON743042.1_00046	L63545.1_00054
OG0000024	ON743042.1_00027	L63545.1_00015
OG0000026	ON743042.1_00111	L63545.1_00002
OG0000027	ON743042.1_00089	L63545.1_00058
OG0000028	ON743042.1_00049	L63545.1_00003
