Orthogroup	NC_003494	HF920637
OG0000000	AF371960.1_00031 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	AF371960.1_00008 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	AF371960.1_00015 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	AF371960.1_00030 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	AF371960.1_00005 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000005	AF371960.1_00007 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000006	AF371960.1_00021 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000007	AF371960.1_00032 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000008	AF371960.1_00034 hypothetical protein	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000009	AF371960.1_00036 DNA-directed RNA polymerase subunit 2	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	AF371960.1_00057 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000011	AF371960.1_00064 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000012	AF371960.1_00088 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000013	AF371960.1_00092 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000014	AF371960.1_00107 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000015	AF371960.1_00121 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000016	AF371960.1_00122 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000017	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	AF371960.1_00078 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000019	AF371960.1_00089 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000020	AF371960.1_00096 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000021	AF371960.1_00112 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000022	AF371960.1_00045 hypothetical protein	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000023	AF371960.1_00113 hypothetical protein	HF920637.1_00153 HF920637.1 - hypothetical protein translation
OG0000024	AF371960.1_00065 hypothetical protein	HF920637.1_00156 HF920637.1 - hypothetical protein translation
