Orthogroup	AF371960.1	NC_005946.1
OG0000000	AF371960.1_00031	NC_005946.1_00010
OG0000001	AF371960.1_00008	NC_005946.1_00053
OG0000002	AF371960.1_00007	NC_005946.1_00091
OG0000003	AF371960.1_00015	NC_005946.1_00057
OG0000004	AF371960.1_00112	NC_005946.1_00028
OG0000005	AF371960.1_00096	NC_005946.1_00014
OG0000006	AF371960.1_00078	NC_005946.1_00042
OG0000007	AF371960.1_00092	NC_005946.1_00002
OG0000008	AF371960.1_00030	NC_005946.1_00095
OG0000009	AF371960.1_00113	NC_005946.1_00092
OG0000011	AF371960.1_00064	NC_005946.1_00011
OG0000012	AF371960.1_00021	NC_005946.1_00060
OG0000013	AF371960.1_00057	NC_005946.1_00022
OG0000014	AF371960.1_00121	NC_005946.1_00016
OG0000015	AF371960.1_00122	NC_005946.1_00021
OG0000016	AF371960.1_00089	NC_005946.1_00082
OG0000017	AF371960.1_00034	NC_005946.1_00087
OG0000018	AF371960.1_00107	NC_005946.1_00023
OG0000019	AF371960.1_00088	NC_005946.1_00094
OG0000020	AF371960.1_00032	NC_005946.1_00083
OG0000021	AF371960.1_00005	NC_005946.1_00038
OG0000022	AF371960.1_00036	NC_005946.1_00061
OG0000023	AF371960.1_00045	NC_005946.1_00089
OG0000024	AF371960.1_00027	NC_005946.1_00067
OG0000026	AF371960.1_00110	NC_005946.1_00086
OG0000027	AF371960.1_00090	NC_005946.1_00049
OG0000028	AF371960.1_00048	NC_005946.1_00085
