Orthogroup	AF371960.1	HF920633.1
OG0000000	AF371960.1_00031	HF920633.1_00044
OG0000001	AF371960.1_00008	HF920633.1_00069
OG0000002	AF371960.1_00007	HF920633.1_00073
OG0000003	AF371960.1_00015	HF920633.1_00127
OG0000004	AF371960.1_00112	HF920633.1_00079
OG0000005	AF371960.1_00096	HF920633.1_00085
OG0000006	AF371960.1_00078	HF920633.1_00025
OG0000007	AF371960.1_00092	HF920633.1_00091
OG0000008	AF371960.1_00030	HF920633.1_00043
OG0000009	AF371960.1_00113	HF920633.1_00122
OG0000011	AF371960.1_00064	HF920633.1_00118
OG0000012	AF371960.1_00021	HF920633.1_00001
OG0000013	AF371960.1_00057	HF920633.1_00067
OG0000014	AF371960.1_00121	HF920633.1_00138
OG0000015	AF371960.1_00122	HF920633.1_00058
OG0000016	AF371960.1_00089	HF920633.1_00094
OG0000017	AF371960.1_00034	HF920633.1_00158
OG0000018	AF371960.1_00107	HF920633.1_00003
OG0000019	AF371960.1_00088	HF920633.1_00163
OG0000020	AF371960.1_00032	HF920633.1_00080
OG0000021	AF371960.1_00005	HF920633.1_00097
OG0000022	AF371960.1_00036	HF920633.1_00175
OG0000023	AF371960.1_00045	HF920633.1_00017
OG0000024	AF371960.1_00027	HF920633.1_00062
OG0000025	AF371960.1_00065	HF920633.1_00047
