Orthogroup	KX643370	PQ335173_PQ335174
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation
OG0000004	Lymph_LDV3_KX643370_00077 hypothetical protein	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation
OG0000005	Lymph_LDV3_KX643370_00051 Major capsid protein	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation
OG0000006	Lymph_LDV3_KX643370_00117 hypothetical protein	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation
OG0000007	Lymph_LDV3_KX643370_00057 hypothetical protein	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation
OG0000008	Lymph_LDV3_KX643370_00040 hypothetical protein	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation
OG0000009	Lymph_LDV3_KX643370_00049 hypothetical protein	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	Lymph_LDV3_KX643370_00044 hypothetical protein	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
OG0000011	Lymph_LDV3_KX643370_00094 hypothetical protein	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation
OG0000012	Lymph_LDV3_KX643370_00075 hypothetical protein	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
OG0000013	Lymph_LDV3_KX643370_00061 hypothetical protein	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
OG0000014	Lymph_LDV3_KX643370_00095 hypothetical protein	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
OG0000015	Lymph_LDV3_KX643370_00056 hypothetical protein	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation
OG0000016	Lymph_LDV3_KX643370_00091 hypothetical protein	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation
OG0000017	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	Lymph_LDV3_KX643370_00004 hypothetical protein	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation
OG0000019	Lymph_LDV3_KX643370_00126 hypothetical protein	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
OG0000020	Lymph_LDV3_KX643370_00055 hypothetical protein	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
OG0000021	Lymph_LDV3_KX643370_00135 hypothetical protein	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation
OG0000022	Lymph_LDV3_KX643370_00089 hypothetical protein	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation
OG0000023	Lymph_LDV3_KX643370_00107 hypothetical protein	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation
OG0000025	Lymph_LDV3_KX643370_00015 hypothetical protein	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation
OG0000026	Lymph_LDV3_KX643370_00119 hypothetical protein	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation
OG0000027	Lymph_LDV3_KX643370_00096 hypothetical protein	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation
OG0000028	Lymph_LDV3_KX643370_00001 hypothetical protein	PQ335173_PQ335174_00020 PQ335173_PQ335174 - hypothetical protein translation
