Orthogroup	MF599468	OM037668
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	OM037668.1_00035 hypothetical protein
OG0000001	MF599468.1_00163 MF599468.1 - hypothetical protein translation	OM037668.1_00056 hypothetical protein
OG0000002	MF599468.1_00011 MF599468.1 - hypothetical protein translation	OM037668.1_00050 hypothetical protein
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	SDDV_ORF038 Flap endonuclease
OG0000004	MF599468.1_00075 MF599468.1 - hypothetical protein translation	OM037668.1_00077 hypothetical protein
OG0000005	MF599468.1_00116 MF599468.1 - hypothetical protein translation	OM037668.1_00013 hypothetical protein
OG0000006	MF599468.1_00152 MF599468.1 - Major capsid protein translation	OM037668.1_00057 Major capsid protein
OG0000007	MF599468.1_00112 MF599468.1 - hypothetical protein translation	OM037668.1_00041 hypothetical protein
OG0000008	MF599468.1_00090 MF599468.1 - hypothetical protein translation	OM037668.1_00123 hypothetical protein
OG0000009	MF599468.1_00035 MF599468.1 - hypothetical protein translation	OM037668.1_00124 hypothetical protein
OG0000010	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000011	MF599468.1_00033 MF599468.1 - hypothetical protein translation	OM037668.1_00098 hypothetical protein
OG0000012	MF599468.1_00149 MF599468.1 - hypothetical protein translation	OM037668.1_00009 hypothetical protein
OG0000013	MF599468.1_00106 MF599468.1 - hypothetical protein translation	OM037668.1_00090 hypothetical protein
OG0000014	MF599468.1_00174 MF599468.1 - hypothetical protein translation	OM037668.1_00084 hypothetical protein
OG0000015	MF599468.1_00117 MF599468.1 - hypothetical protein translation	OM037668.1_00073 hypothetical protein
OG0000016	MF599468.1_00122 MF599468.1 - hypothetical protein translation	OM037668.1_00078 hypothetical protein
OG0000017	MF599468.1_00009 MF599468.1 - hypothetical protein translation	OM037668.1_00004 hypothetical protein
OG0000019	MF599468.1_00010 MF599468.1 - hypothetical protein translation	OM037668.1_00021 hypothetical protein
OG0000020	MF599468.1_00046 MF599468.1 - hypothetical protein translation	OM037668.1_00089 hypothetical protein
OG0000021	MF599468.1_00154 MF599468.1 - hypothetical protein translation	OM037668.1_00080 hypothetical protein
OG0000022	MF599468.1_00092 MF599468.1 - hypothetical protein translation	OM037668.1_00076 hypothetical protein
OG0000029	MF599468.1_00013 MF599468.1 - hypothetical protein translation	OM037668.1_00097 hypothetical protein
OG0000184	MF599468.1_00098 MF599468.1 - Thymidylate kinase translation	OM037668.1_00023 hypothetical protein
