Orthogroup	MF599468	MN803438
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	MN803438.1_00124 hypothetical protein
OG0000001	MF599468.1_00163 MF599468.1 - hypothetical protein translation	MN803438.1_00101 hypothetical protein
OG0000002	MF599468.1_00011 MF599468.1 - hypothetical protein translation	MN803438.1_00113 hypothetical protein
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	MN803438.1_00106 hypothetical protein
OG0000004	MF599468.1_00075 MF599468.1 - hypothetical protein translation	MN803438.1_00109 hypothetical protein
OG0000005	MF599468.1_00116 MF599468.1 - hypothetical protein translation	MN803438.1_00089 hypothetical protein
OG0000006	MF599468.1_00152 MF599468.1 - Major capsid protein translation	MN803438.1_00023 Major capsid protein
OG0000007	MF599468.1_00112 MF599468.1 - hypothetical protein translation	MN803438.1_00128 hypothetical protein
OG0000008	MF599468.1_00090 MF599468.1 - hypothetical protein translation	MN803438.1_00068 hypothetical protein
OG0000009	MF599468.1_00035 MF599468.1 - hypothetical protein translation	MN803438.1_00035 hypothetical protein
OG0000010	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	MN803438.1_00013 hypothetical protein
OG0000011	MF599468.1_00033 MF599468.1 - hypothetical protein translation	MN803438.1_00007 hypothetical protein
OG0000012	MF599468.1_00149 MF599468.1 - hypothetical protein translation	MN803438.1_00049 hypothetical protein
OG0000013	MF599468.1_00106 MF599468.1 - hypothetical protein translation	MN803438.1_00097 hypothetical protein
OG0000014	MF599468.1_00174 MF599468.1 - hypothetical protein translation	MN803438.1_00027 hypothetical protein
OG0000015	MF599468.1_00117 MF599468.1 - hypothetical protein translation	MN803438.1_00051 hypothetical protein
OG0000016	MF599468.1_00122 MF599468.1 - hypothetical protein translation	MN803438.1_00070 hypothetical protein
OG0000017	MF599468.1_00009 MF599468.1 - hypothetical protein translation	MN803438.1_00046 hypothetical protein
OG0000019	MF599468.1_00010 MF599468.1 - hypothetical protein translation	MN803438.1_00142 hypothetical protein
OG0000020	MF599468.1_00046 MF599468.1 - hypothetical protein translation	MN803438.1_00122 hypothetical protein
OG0000021	MF599468.1_00154 MF599468.1 - hypothetical protein translation	MN803438.1_00071 hypothetical protein
OG0000022	MF599468.1_00092 MF599468.1 - hypothetical protein translation	MN803438.1_00104 hypothetical protein
OG0000126	MF599468.1_00096 MF599468.1 - hypothetical protein translation, MF599468.1_00036 MF599468.1 - hypothetical protein translation	MN803438.1_00125 hypothetical protein, MN803438.1_00094 hypothetical protein, MN803438.1_00107 hypothetical protein, MN803438.1_00112 hypothetical protein, MN803438.1_00120 hypothetical protein, MN803438.1_00012 hypothetical protein, MN803438.1_00021 hypothetical protein
OG0000132	MF599468.1_00002 MF599468.1 - hypothetical protein translation	MN803438.1_00115 hypothetical protein
OG0000135	MF599468.1_00051 MF599468.1 - hypothetical protein translation	MN803438.1_00137 hypothetical protein
OG0000141	MF599468.1_00027 MF599468.1 - hypothetical protein translation	MN803438.1_00006 hypothetical protein
OG0000148	MF599468.1_00074 MF599468.1 - hypothetical protein translation	MN803438.1_00135 hypothetical protein
OG0000152	MF599468.1_00060 MF599468.1 - hypothetical protein translation	MN803438.1_00003 hypothetical protein
OG0000155	MF599468.1_00156 MF599468.1 - hypothetical protein translation, MF599468.1_00066 MF599468.1 - hypothetical protein translation	MN803438.1_00078 hypothetical protein
OG0000171	MF599468.1_00089 MF599468.1 - hypothetical protein translation, MF599468.1_00108 MF599468.1 - hypothetical protein translation	MN803438.1_00030 hypothetical protein
OG0000197	MF599468.1_00006 MF599468.1 - hypothetical protein translation	MN803438.1_00044 hypothetical protein
OG0000221	MF599468.1_00062 MF599468.1 - hypothetical protein translation	MN803438.1_00140 hypothetical protein
