Orthogroup	HF920637.1	NC_027778.1
OG0000000	HF920637.1_00129, HF920637.1_00164	NC_027778.1_00083
OG0000001	HF920637.1_00143	NC_027778.1_00061
OG0000003	HF920637.1_00059	NC_027778.1_00062
OG0000004	HF920637.1_00159	NC_027778.1_00068
OG0000005	HF920637.1_00176, HF920637.1_00175	NC_027778.1_00080
OG0000006	HF920637.1_00121	NC_027778.1_00098
OG0000007	HF920637.1_00172	NC_027778.1_00032
OG0000008	HF920637.1_00025	NC_027778.1_00040
OG0000009	HF920637.1_00153	NC_027778.1_00039
OG0000010	HF920637.1_00041	NC_027778.1_00106
OG0000011	HF920637.1_00001	NC_027778.1_00077
OG0000012	HF920637.1_00031	NC_027778.1_00133
OG0000013	HF920637.1_00073	NC_027778.1_00132
OG0000014	HF920637.1_00213	NC_027778.1_00129
OG0000015	HF920637.1_00017	NC_027778.1_00018
OG0000016	HF920637.1_00217	NC_027778.1_00111
OG0000017	HF920637.1_00197	NC_027778.1_00026
OG0000018	HF920637.1_00079	NC_027778.1_00027
OG0000019	HF920637.1_00111	NC_027778.1_00043
OG0000020	HF920637.1_00108	NC_027778.1_00038
OG0000021	HF920637.1_00152	NC_027778.1_00116
OG0000022	HF920637.1_00033	NC_027778.1_00003
OG0000023	HF920637.1_00221	NC_027778.1_00036
OG0000024	HF920637.1_00203	NC_027778.1_00042
OG0000025	HF920637.1_00156	NC_027778.1_00094, NC_027778.1_00095
OG0000028	HF920637.1_00127	NC_027778.1_00108
OG0000149	HF920637.1_00123	NC_027778.1_00049
OG0000187	HF920637.1_00013	NC_027778.1_00097
