Orthogroup	HF920637.1	MN803438.1
OG0000000	HF920637.1_00129, HF920637.1_00164	MN803438.1_00124
OG0000001	HF920637.1_00143	MN803438.1_00023
OG0000003	HF920637.1_00059	MN803438.1_00101, MN803438.1_00056
OG0000004	HF920637.1_00159	MN803438.1_00113
OG0000005	HF920637.1_00176, HF920637.1_00175	MN803438.1_00106
OG0000006	HF920637.1_00121	MN803438.1_00142
OG0000007	HF920637.1_00172	MN803438.1_00027
OG0000008	HF920637.1_00025	MN803438.1_00104
OG0000009	HF920637.1_00153	MN803438.1_00109
OG0000010	HF920637.1_00041	MN803438.1_00089
OG0000011	HF920637.1_00001	MN803438.1_00128
OG0000012	HF920637.1_00031	MN803438.1_00068
OG0000013	HF920637.1_00073	MN803438.1_00035
OG0000014	HF920637.1_00213	MN803438.1_00013
OG0000015	HF920637.1_00017	MN803438.1_00007
OG0000016	HF920637.1_00217	MN803438.1_00049
OG0000017	HF920637.1_00197	MN803438.1_00097
OG0000018	HF920637.1_00079	MN803438.1_00122
OG0000019	HF920637.1_00111	MN803438.1_00051
OG0000020	HF920637.1_00108	MN803438.1_00070
OG0000021	HF920637.1_00152	MN803438.1_00046
OG0000022	HF920637.1_00033	MN803438.1_00077
OG0000023	HF920637.1_00221	MN803438.1_00071
OG0000024	HF920637.1_00203	MN803438.1_00126
OG0000028	HF920637.1_00127	MN803438.1_00145
OG0000120	HF920637.1_00018	MN803438.1_00094, MN803438.1_00125
OG0000120	HF920637.1_00138	MN803438.1_00012
OG0000137	HF920637.1_00219	MN803438.1_00115
OG0000138	HF920637.1_00014	MN803438.1_00006
OG0000147	HF920637.1_00061	MN803438.1_00024
OG0000148	HF920637.1_00105	MN803438.1_00105
OG0000149	HF920637.1_00123	MN803438.1_00005
OG0000153	HF920637.1_00072	MN803438.1_00078
OG0000155	HF920637.1_00181	MN803438.1_00137
OG0000167	HF920637.1_00168	MN803438.1_00135
OG0000183	HF920637.1_00024	MN803438.1_00045
