Orthogroup	HF920637.1	AY894343.1
OG0000000	HF920637.1_00129, HF920637.1_00164	AY894343.1_00029
OG0000001	HF920637.1_00143	AY894343.1_00007
OG0000003	HF920637.1_00059	AY894343.1_00008
OG0000004	HF920637.1_00159	AY894343.1_00015
OG0000005	HF920637.1_00176, HF920637.1_00175	AY894343.1_00028
OG0000006	HF920637.1_00121	AY894343.1_00076
OG0000007	HF920637.1_00172	AY894343.1_00090
OG0000008	HF920637.1_00025	AY894343.1_00113
OG0000009	HF920637.1_00153	AY894343.1_00115
OG0000010	HF920637.1_00041	AY894343.1_00005
OG0000011	HF920637.1_00001	AY894343.1_00021
OG0000012	HF920637.1_00031	AY894343.1_00030
OG0000013	HF920637.1_00073	AY894343.1_00032
OG0000014	HF920637.1_00213	AY894343.1_00034
OG0000015	HF920637.1_00017	AY894343.1_00056
OG0000016	HF920637.1_00217	AY894343.1_00063
OG0000017	HF920637.1_00197	AY894343.1_00086
OG0000018	HF920637.1_00079	AY894343.1_00087
OG0000019	HF920637.1_00111	AY894343.1_00108
OG0000020	HF920637.1_00108	AY894343.1_00123
OG0000021	HF920637.1_00152	AY894343.1_00124
OG0000022	HF920637.1_00033	AY894343.1_00043
OG0000023	HF920637.1_00221	AY894343.1_00096
OG0000024	HF920637.1_00203	AY894343.1_00111
OG0000025	HF920637.1_00156	AY894343.1_00064
OG0000028	HF920637.1_00127	AY894343.1_00006
