Orthogroup	HF920637.1	BD143114.1
OG0000000	HF920637.1_00129, HF920637.1_00164	BD143114.1_00045
OG0000001	HF920637.1_00143	BD143114.1_00068
OG0000003	HF920637.1_00059	BD143114.1_00067
OG0000004	HF920637.1_00159	BD143114.1_00060
OG0000005	HF920637.1_00176, HF920637.1_00175	BD143114.1_00046
OG0000006	HF920637.1_00121	BD143114.1_00001
OG0000007	HF920637.1_00172	BD143114.1_00109
OG0000008	HF920637.1_00025	BD143114.1_00087
OG0000009	HF920637.1_00153	BD143114.1_00085
OG0000010	HF920637.1_00041	BD143114.1_00070
OG0000011	HF920637.1_00001	BD143114.1_00053
OG0000012	HF920637.1_00031	BD143114.1_00044
OG0000013	HF920637.1_00073	BD143114.1_00042
OG0000014	HF920637.1_00213	BD143114.1_00040
OG0000015	HF920637.1_00017	BD143114.1_00019
OG0000016	HF920637.1_00217	BD143114.1_00013
OG0000017	HF920637.1_00197	BD143114.1_00114
OG0000018	HF920637.1_00079	BD143114.1_00113
OG0000019	HF920637.1_00111	BD143114.1_00092
OG0000020	HF920637.1_00108	BD143114.1_00077
OG0000021	HF920637.1_00152	BD143114.1_00076
OG0000022	HF920637.1_00033	BD143114.1_00031
OG0000023	HF920637.1_00221	BD143114.1_00104
OG0000024	HF920637.1_00203	BD143114.1_00089
OG0000025	HF920637.1_00156	BD143114.1_00012
OG0000028	HF920637.1_00127	BD143114.1_00069
