Orthogroup	HF920637.1	HF920633.1
OG0000000	HF920637.1_00129, HF920637.1_00164	HF920633.1_00044
OG0000001	HF920637.1_00143	HF920633.1_00073
OG0000003	HF920637.1_00059	HF920633.1_00069
OG0000004	HF920637.1_00159	HF920633.1_00127
OG0000005	HF920637.1_00176, HF920637.1_00175	HF920633.1_00043
OG0000006	HF920637.1_00121	HF920633.1_00025
OG0000007	HF920637.1_00172	HF920633.1_00091
OG0000008	HF920637.1_00025	HF920633.1_00079
OG0000009	HF920637.1_00153	HF920633.1_00122
OG0000010	HF920637.1_00041	HF920633.1_00097
OG0000011	HF920637.1_00001	HF920633.1_00001
OG0000012	HF920637.1_00031	HF920633.1_00080
OG0000013	HF920637.1_00073	HF920633.1_00158
OG0000014	HF920637.1_00213	HF920633.1_00175
OG0000015	HF920637.1_00017	HF920633.1_00067
OG0000016	HF920637.1_00217	HF920633.1_00118
OG0000017	HF920637.1_00197	HF920633.1_00163
OG0000018	HF920637.1_00079	HF920633.1_00094
OG0000019	HF920637.1_00111	HF920633.1_00003
OG0000020	HF920637.1_00108	HF920633.1_00138
OG0000021	HF920637.1_00152	HF920633.1_00058
OG0000022	HF920637.1_00033	HF920633.1_00017
OG0000025	HF920637.1_00156	HF920633.1_00047
OG0000028	HF920637.1_00127	HF920633.1_00030
OG0000120	HF920637.1_00138	HF920633.1_00086
OG0000121	HF920637.1_00034, HF920637.1_00184, HF920637.1_00206, HF920637.1_00096, HF920637.1_00102, HF920637.1_00130, HF920637.1_00208, HF920637.1_00158	HF920633.1_00143
OG0000122	HF920637.1_00183	HF920633.1_00116
OG0000125	HF920637.1_00029, HF920637.1_00147, HF920637.1_00218	HF920633.1_00147
OG0000125	HF920637.1_00198	HF920633.1_00174, HF920633.1_00130, HF920633.1_00007
OG0000127	HF920637.1_00008, HF920637.1_00200, HF920637.1_00083, HF920637.1_00084, HF920637.1_00093, HF920637.1_00094, HF920637.1_00199, HF920637.1_00201, HF920637.1_00058, HF920637.1_00057, HF920637.1_00216	HF920633.1_00004
OG0000137	HF920637.1_00219	HF920633.1_00135
OG0000138	HF920637.1_00014	HF920633.1_00064
OG0000147	HF920637.1_00061	HF920633.1_00062
OG0000148	HF920637.1_00105	HF920633.1_00132
OG0000149	HF920637.1_00123	HF920633.1_00156
OG0000154	HF920637.1_00060	HF920633.1_00026
OG0000155	HF920637.1_00181	HF920633.1_00053
OG0000161	HF920637.1_00150	HF920633.1_00106
OG0000166	HF920637.1_00151	HF920633.1_00099
OG0000166	HF920637.1_00209	HF920633.1_00100, HF920633.1_00129, HF920633.1_00019
OG0000167	HF920637.1_00168	HF920633.1_00036
OG0000176	HF920637.1_00069	HF920633.1_00161, HF920633.1_00031
OG0000177	HF920637.1_00067	HF920633.1_00046
OG0000178	HF920637.1_00049	HF920633.1_00082
OG0000179	HF920637.1_00011, HF920637.1_00180	HF920633.1_00088
OG0000180	HF920637.1_00071	HF920633.1_00096
OG0000181	HF920637.1_00095	HF920633.1_00105
OG0000182	HF920637.1_00056	HF920633.1_00134
OG0000183	HF920637.1_00024	HF920633.1_00139
OG0000184	HF920637.1_00077, HF920637.1_00148	HF920633.1_00145
OG0000185	HF920637.1_00120	HF920633.1_00169
OG0000186	HF920637.1_00045	HF920633.1_00177
OG0000200	HF920637.1_00048	HF920633.1_00020, HF920633.1_00021
OG0000201	HF920637.1_00085	HF920633.1_00022
OG0000202	HF920637.1_00009	HF920633.1_00029
OG0000204	HF920637.1_00035	HF920633.1_00035
OG0000205	HF920637.1_00140	HF920633.1_00039
OG0000206	HF920637.1_00002, HF920637.1_00040	HF920633.1_00041
OG0000207	HF920637.1_00070	HF920633.1_00050
OG0000208	HF920637.1_00160	HF920633.1_00056
OG0000209	HF920637.1_00047	HF920633.1_00103
OG0000210	HF920637.1_00139	HF920633.1_00110
OG0000211	HF920637.1_00193	HF920633.1_00120
OG0000212	HF920637.1_00149	HF920633.1_00121
OG0000213	HF920637.1_00192	HF920633.1_00123
OG0000214	HF920637.1_00005	HF920633.1_00125
OG0000215	HF920637.1_00020	HF920633.1_00128
OG0000216	HF920637.1_00019	HF920633.1_00131
OG0000217	HF920637.1_00043	HF920633.1_00146
OG0000218	HF920637.1_00100	HF920633.1_00149
OG0000219	HF920637.1_00212	HF920633.1_00165
OG0000266	HF920637.1_00211	HF920633.1_00008
OG0000268	HF920637.1_00195	HF920633.1_00013
OG0000269	HF920637.1_00204	HF920633.1_00023
OG0000272	HF920637.1_00144	HF920633.1_00074
OG0000274	HF920637.1_00167	HF920633.1_00087
OG0000275	HF920637.1_00215	HF920633.1_00101
OG0000276	HF920637.1_00124	HF920633.1_00102
OG0000277	HF920637.1_00012	HF920633.1_00113
OG0000279	HF920637.1_00021	HF920633.1_00155
OG0000281	HF920637.1_00187	HF920633.1_00160
OG0000351	HF920637.1_00170	HF920633.1_00112
OG0000354	HF920637.1_00027	HF920633.1_00137
