Orthogroup	HF920637.1	LS484712.1
OG0000000	HF920637.1_00129, HF920637.1_00164	LS484712.1_00114
OG0000001	HF920637.1_00143	LS484712.1_00142
OG0000003	HF920637.1_00059	LS484712.1_00095
OG0000004	HF920637.1_00159	LS484712.1_00187
OG0000005	HF920637.1_00176, HF920637.1_00175	LS484712.1_00248
OG0000006	HF920637.1_00121	LS484712.1_00040
OG0000007	HF920637.1_00172	LS484712.1_00234, LS484712.1_00050
OG0000009	HF920637.1_00153	LS484712.1_00130
OG0000010	HF920637.1_00041	LS484712.1_00096
OG0000011	HF920637.1_00001	LS484712.1_00200
OG0000012	HF920637.1_00031	LS484712.1_00188
OG0000013	HF920637.1_00073	LS484712.1_00240
OG0000014	HF920637.1_00213	LS484712.1_00194
OG0000015	HF920637.1_00017	LS484712.1_00143
OG0000016	HF920637.1_00217	LS484712.1_00203
OG0000017	HF920637.1_00197	LS484712.1_00192
OG0000018	HF920637.1_00079	LS484712.1_00048
OG0000019	HF920637.1_00111	LS484712.1_00053
OG0000020	HF920637.1_00108	LS484712.1_00202
OG0000021	HF920637.1_00152	LS484712.1_00135
OG0000022	HF920637.1_00033	LS484712.1_00117
OG0000125	HF920637.1_00029, HF920637.1_00147, HF920637.1_00218	LS484712.1_00198
OG0000137	HF920637.1_00219	LS484712.1_00057
OG0000138	HF920637.1_00014	LS484712.1_00197
OG0000147	HF920637.1_00061	LS484712.1_00149
OG0000148	HF920637.1_00105	LS484712.1_00251
OG0000154	HF920637.1_00060	LS484712.1_00133
OG0000155	HF920637.1_00181	LS484712.1_00063
OG0000177	HF920637.1_00067	LS484712.1_00184
OG0000178	HF920637.1_00049	LS484712.1_00195
OG0000179	HF920637.1_00011, HF920637.1_00180	LS484712.1_00211
OG0000181	HF920637.1_00095	LS484712.1_00140
OG0000182	HF920637.1_00056	LS484712.1_00116
OG0000185	HF920637.1_00120	LS484712.1_00212
OG0000186	HF920637.1_00045	LS484712.1_00112
OG0000202	HF920637.1_00009	LS484712.1_00120
OG0000204	HF920637.1_00035	LS484712.1_00163
OG0000205	HF920637.1_00140	LS484712.1_00113
OG0000207	HF920637.1_00070	LS484712.1_00060
OG0000212	HF920637.1_00149	LS484712.1_00106
OG0000216	HF920637.1_00019	LS484712.1_00196
OG0000217	HF920637.1_00043	LS484712.1_00224
OG0000275	HF920637.1_00215	LS484712.1_00052
OG0000370	HF920637.1_00113	LS484712.1_00006
