Orthogroup	HF920637.1	OL774654.1
OG0000000	HF920637.1_00129, HF920637.1_00164	OL774654.1_00031
OG0000001	HF920637.1_00143	OL774654.1_00007
OG0000003	HF920637.1_00059	OL774654.1_00008
OG0000004	HF920637.1_00159	OL774654.1_00015
OG0000005	HF920637.1_00176, HF920637.1_00175	OL774654.1_00030
OG0000006	HF920637.1_00121	OL774654.1_00075
OG0000007	HF920637.1_00172	OL774654.1_00089
OG0000008	HF920637.1_00025	OL774654.1_00111
OG0000009	HF920637.1_00153	OL774654.1_00113
OG0000010	HF920637.1_00041	OL774654.1_00005
OG0000011	HF920637.1_00001	OL774654.1_00022
OG0000012	HF920637.1_00031	OL774654.1_00032
OG0000013	HF920637.1_00073	OL774654.1_00034
OG0000014	HF920637.1_00213	OL774654.1_00036
OG0000015	HF920637.1_00017	OL774654.1_00057
OG0000016	HF920637.1_00217	OL774654.1_00063
OG0000017	HF920637.1_00197	OL774654.1_00085
OG0000018	HF920637.1_00079	OL774654.1_00086
OG0000019	HF920637.1_00111	OL774654.1_00106
OG0000020	HF920637.1_00108	OL774654.1_00121
OG0000021	HF920637.1_00152	OL774654.1_00122
OG0000022	HF920637.1_00033	OL774654.1_00045
OG0000023	HF920637.1_00221	OL774654.1_00094
OG0000024	HF920637.1_00203	OL774654.1_00109
OG0000025	HF920637.1_00156	OL774654.1_00064
OG0000028	HF920637.1_00127	OL774654.1_00006
