Orthogroup	HF920637.1	OQ475017.1
OG0000000	HF920637.1_00129, HF920637.1_00164	OQ475017.1_00030
OG0000001	HF920637.1_00143	OQ475017.1_00007
OG0000003	HF920637.1_00059	OQ475017.1_00008
OG0000004	HF920637.1_00159	OQ475017.1_00015
OG0000005	HF920637.1_00176, HF920637.1_00175	OQ475017.1_00029
OG0000006	HF920637.1_00121	OQ475017.1_00073
OG0000007	HF920637.1_00172	OQ475017.1_00087
OG0000008	HF920637.1_00025	OQ475017.1_00110
OG0000009	HF920637.1_00153	OQ475017.1_00112
OG0000010	HF920637.1_00041	OQ475017.1_00005
OG0000011	HF920637.1_00001	OQ475017.1_00022
OG0000012	HF920637.1_00031	OQ475017.1_00031
OG0000013	HF920637.1_00073	OQ475017.1_00033
OG0000014	HF920637.1_00213	OQ475017.1_00035
OG0000015	HF920637.1_00017	OQ475017.1_00056
OG0000016	HF920637.1_00217	OQ475017.1_00062
OG0000017	HF920637.1_00197	OQ475017.1_00083
OG0000018	HF920637.1_00079	OQ475017.1_00084
OG0000019	HF920637.1_00111	OQ475017.1_00105
OG0000020	HF920637.1_00108	OQ475017.1_00120
OG0000021	HF920637.1_00152	OQ475017.1_00121
OG0000022	HF920637.1_00033	OQ475017.1_00044
OG0000023	HF920637.1_00221	OQ475017.1_00093
OG0000024	HF920637.1_00203	OQ475017.1_00108
OG0000025	HF920637.1_00156	OQ475017.1_00063
OG0000028	HF920637.1_00127	OQ475017.1_00006
