Orthogroup	HF920637.1	MG570131.1
OG0000000	HF920637.1_00129, HF920637.1_00164	MG570131.1_00031
OG0000001	HF920637.1_00143	MG570131.1_00007, MG570131.1_00008
OG0000003	HF920637.1_00059	MG570131.1_00009
OG0000004	HF920637.1_00159	MG570131.1_00016
OG0000005	HF920637.1_00176, HF920637.1_00175	MG570131.1_00030
OG0000006	HF920637.1_00121	MG570131.1_00073
OG0000007	HF920637.1_00172	MG570131.1_00087
OG0000008	HF920637.1_00025	MG570131.1_00108
OG0000009	HF920637.1_00153	MG570131.1_00110
OG0000010	HF920637.1_00041	MG570131.1_00005
OG0000011	HF920637.1_00001	MG570131.1_00023
OG0000012	HF920637.1_00031	MG570131.1_00032
OG0000013	HF920637.1_00073	MG570131.1_00034
OG0000014	HF920637.1_00213	MG570131.1_00036
OG0000015	HF920637.1_00017	MG570131.1_00057
OG0000016	HF920637.1_00217	MG570131.1_00063
OG0000017	HF920637.1_00197	MG570131.1_00083
OG0000018	HF920637.1_00079	MG570131.1_00084
OG0000019	HF920637.1_00111	MG570131.1_00103
OG0000020	HF920637.1_00108	MG570131.1_00118
OG0000021	HF920637.1_00152	MG570131.1_00119
OG0000022	HF920637.1_00033	MG570131.1_00045
OG0000023	HF920637.1_00221	MG570131.1_00092
OG0000024	HF920637.1_00203	MG570131.1_00106
OG0000025	HF920637.1_00156	MG570131.1_00064
OG0000028	HF920637.1_00127	MG570131.1_00006
