Orthogroup	HF920637.1	MK098187.1
OG0000000	HF920637.1_00129, HF920637.1_00164	MK098187.1_00033
OG0000001	HF920637.1_00143	MK098187.1_00007
OG0000003	HF920637.1_00059	MK098187.1_00008
OG0000004	HF920637.1_00159	MK098187.1_00015
OG0000005	HF920637.1_00176, HF920637.1_00175	MK098187.1_00032
OG0000006	HF920637.1_00121	MK098187.1_00076
OG0000007	HF920637.1_00172	MK098187.1_00090
OG0000008	HF920637.1_00025	MK098187.1_00112
OG0000009	HF920637.1_00153	MK098187.1_00114
OG0000010	HF920637.1_00041	MK098187.1_00005
OG0000011	HF920637.1_00001	MK098187.1_00022
OG0000012	HF920637.1_00031	MK098187.1_00034
OG0000013	HF920637.1_00073	MK098187.1_00036
OG0000014	HF920637.1_00213	MK098187.1_00038
OG0000015	HF920637.1_00017	MK098187.1_00058
OG0000016	HF920637.1_00217	MK098187.1_00064
OG0000017	HF920637.1_00197	MK098187.1_00086
OG0000018	HF920637.1_00079	MK098187.1_00087
OG0000019	HF920637.1_00111	MK098187.1_00107
OG0000020	HF920637.1_00108	MK098187.1_00122
OG0000021	HF920637.1_00152	MK098187.1_00123
OG0000022	HF920637.1_00033	MK098187.1_00047
OG0000023	HF920637.1_00221	MK098187.1_00095
OG0000024	HF920637.1_00203	MK098187.1_00110
OG0000025	HF920637.1_00156	MK098187.1_00065
OG0000028	HF920637.1_00127	MK098187.1_00006
