Orthogroup	HF920637.1	KF938901.1
OG0000000	HF920637.1_00129, HF920637.1_00164	KF938901.1_00126
OG0000001	HF920637.1_00143	KF938901.1_00044
OG0000003	HF920637.1_00059	KF938901.1_00080
OG0000004	HF920637.1_00159	KF938901.1_00005
OG0000005	HF920637.1_00176, HF920637.1_00175	KF938901.1_00067
OG0000006	HF920637.1_00121	KF938901.1_00072
OG0000007	HF920637.1_00172	KF938901.1_00053
OG0000008	HF920637.1_00025	KF938901.1_00043
OG0000009	HF920637.1_00153	KF938901.1_00114
OG0000010	HF920637.1_00041	KF938901.1_00124
OG0000011	HF920637.1_00001	KF938901.1_00054
OG0000012	HF920637.1_00031	KF938901.1_00047
OG0000013	HF920637.1_00073	KF938901.1_00123
OG0000014	HF920637.1_00213	KF938901.1_00023
OG0000015	HF920637.1_00017	KF938901.1_00060
OG0000016	HF920637.1_00217	KF938901.1_00092
OG0000017	HF920637.1_00197	KF938901.1_00012
OG0000018	HF920637.1_00079	KF938901.1_00046
OG0000019	HF920637.1_00111	KF938901.1_00025
OG0000020	HF920637.1_00108	KF938901.1_00074
OG0000021	HF920637.1_00152	KF938901.1_00095
OG0000022	HF920637.1_00033	KF938901.1_00031
OG0000025	HF920637.1_00156	KF938901.1_00093
OG0000125	HF920637.1_00029, HF920637.1_00147, HF920637.1_00218	KF938901.1_00115
OG0000125	HF920637.1_00198	KF938901.1_00020, KF938901.1_00049
OG0000133	HF920637.1_00062, HF920637.1_00122	KF938901.1_00001, KF938901.1_00151, KF938901.1_00127, KF938901.1_00135, KF938901.1_00119, KF938901.1_00030, KF938901.1_00158, KF938901.1_00084
OG0000137	HF920637.1_00219	KF938901.1_00086
OG0000138	HF920637.1_00014	KF938901.1_00007
OG0000147	HF920637.1_00061	KF938901.1_00094
OG0000148	HF920637.1_00105	KF938901.1_00048
OG0000149	HF920637.1_00123	KF938901.1_00108
OG0000154	HF920637.1_00060	KF938901.1_00069
OG0000155	HF920637.1_00181	KF938901.1_00065
OG0000161	HF920637.1_00150	KF938901.1_00118
OG0000167	HF920637.1_00168	KF938901.1_00106
OG0000176	HF920637.1_00069	KF938901.1_00006, KF938901.1_00105
OG0000177	HF920637.1_00067	KF938901.1_00150
OG0000178	HF920637.1_00049	KF938901.1_00103
OG0000179	HF920637.1_00011, HF920637.1_00180	KF938901.1_00112
OG0000180	HF920637.1_00162	KF938901.1_00066
OG0000180	HF920637.1_00071	KF938901.1_00153
OG0000181	HF920637.1_00095	KF938901.1_00117
OG0000182	HF920637.1_00056	KF938901.1_00102
OG0000183	HF920637.1_00024	KF938901.1_00137
OG0000184	HF920637.1_00077, HF920637.1_00148	KF938901.1_00104
OG0000185	HF920637.1_00120	KF938901.1_00128
OG0000186	HF920637.1_00045	KF938901.1_00121
OG0000200	HF920637.1_00048	KF938901.1_00099
OG0000201	HF920637.1_00085	KF938901.1_00152
OG0000202	HF920637.1_00009	KF938901.1_00008
OG0000204	HF920637.1_00035	KF938901.1_00010
OG0000205	HF920637.1_00140	KF938901.1_00075
OG0000206	HF920637.1_00002, HF920637.1_00040	KF938901.1_00155
OG0000207	HF920637.1_00070	KF938901.1_00077
OG0000208	HF920637.1_00160	KF938901.1_00070
OG0000209	HF920637.1_00047	KF938901.1_00100
OG0000210	HF920637.1_00139	KF938901.1_00133
OG0000211	HF920637.1_00193	KF938901.1_00134
OG0000212	HF920637.1_00149	KF938901.1_00113
OG0000213	HF920637.1_00192	KF938901.1_00146
OG0000214	HF920637.1_00005	KF938901.1_00148
OG0000215	HF920637.1_00020	KF938901.1_00116
OG0000216	HF920637.1_00019	KF938901.1_00063
OG0000217	HF920637.1_00043	KF938901.1_00139
OG0000218	HF920637.1_00100	KF938901.1_00141
OG0000219	HF920637.1_00212	KF938901.1_00014
OG0000266	HF920637.1_00211	KF938901.1_00130
OG0000268	HF920637.1_00195	KF938901.1_00035
OG0000269	HF920637.1_00204	KF938901.1_00098
OG0000272	HF920637.1_00144	KF938901.1_00045
OG0000274	HF920637.1_00167	KF938901.1_00090
OG0000276	HF920637.1_00124	KF938901.1_00136
OG0000277	HF920637.1_00012	KF938901.1_00062
OG0000279	HF920637.1_00021	KF938901.1_00154
OG0000281	HF920637.1_00187	KF938901.1_00082
OG0000364	HF920637.1_00053	KF938901.1_00015
OG0000365	HF920637.1_00063	KF938901.1_00122
OG0000368	HF920637.1_00078	KF938901.1_00157
OG0000371	HF920637.1_00174	KF938901.1_00016
