Orthogroup	AY779031.1	ON740976.1
OG0000000	AY779031.1_00034	ON740976.1_00030
OG0000001	AY779031.1_00008	ON740976.1_00008
OG0000002	AY779031.1_00007	ON740976.1_00007
OG0000003	AY779031.1_00015, AY779031.1_00016	ON740976.1_00014
OG0000004	AY779031.1_00121	ON740976.1_00111
OG0000005	AY779031.1_00103	ON740976.1_00094
OG0000006	AY779031.1_00083, AY779031.1_00084	ON740976.1_00075
OG0000007	AY779031.1_00098	ON740976.1_00089
OG0000008	AY779031.1_00033	ON740976.1_00029
OG0000009	AY779031.1_00122	ON740976.1_00113
OG0000010	AY779031.1_00085	ON740976.1_00076
OG0000011	AY779031.1_00068	ON740976.1_00063
OG0000012	AY779031.1_00023	ON740976.1_00021
OG0000013	AY779031.1_00061	ON740976.1_00057
OG0000014	AY779031.1_00129	ON740976.1_00121
OG0000015	AY779031.1_00130	ON740976.1_00122
OG0000016	AY779031.1_00095	ON740976.1_00086
OG0000017	AY779031.1_00037	ON740976.1_00033
OG0000018	AY779031.1_00116	ON740976.1_00106
OG0000019	AY779031.1_00094	ON740976.1_00085
OG0000020	AY779031.1_00035	ON740976.1_00031
OG0000021	AY779031.1_00005	ON740976.1_00005
OG0000022	AY779031.1_00039	ON740976.1_00035
OG0000023	AY779031.1_00049	ON740976.1_00044
OG0000025	AY779031.1_00069	ON740976.1_00064
OG0000026	AY779031.1_00119	ON740976.1_00109
OG0000027	AY779031.1_00096	ON740976.1_00087
OG0000028	AY779031.1_00052	ON740976.1_00047
OG0000029	AY779031.1_00066	ON740976.1_00061
OG0000030	AY779031.1_00001	ON740976.1_00001
OG0000031	AY779031.1_00006	ON740976.1_00006
OG0000032	AY779031.1_00089	ON740976.1_00080
OG0000033	AY779031.1_00097	ON740976.1_00088
OG0000034	AY779031.1_00131	ON740976.1_00123
OG0000035	AY779031.1_00013	ON740976.1_00012
OG0000036	AY779031.1_00014	ON740976.1_00013
OG0000037	AY779031.1_00019	ON740976.1_00018
OG0000038	AY779031.1_00020	ON740976.1_00019
OG0000039	AY779031.1_00024	ON740976.1_00022
OG0000040	AY779031.1_00025	ON740976.1_00023
OG0000041	AY779031.1_00036	ON740976.1_00032
OG0000042	AY779031.1_00040	ON740976.1_00036
OG0000043	AY779031.1_00053	ON740976.1_00049
OG0000044	AY779031.1_00054	ON740976.1_00050
OG0000045	AY779031.1_00059	ON740976.1_00055
OG0000046	AY779031.1_00060	ON740976.1_00056
OG0000047	AY779031.1_00062	ON740976.1_00058
OG0000048	AY779031.1_00063	ON740976.1_00059
OG0000049	AY779031.1_00065	ON740976.1_00060
OG0000050	AY779031.1_00086	ON740976.1_00077
OG0000051	AY779031.1_00090	ON740976.1_00081
OG0000052	AY779031.1_00091	ON740976.1_00082
OG0000053	AY779031.1_00102	ON740976.1_00093
OG0000054	AY779031.1_00104	ON740976.1_00095
OG0000055	AY779031.1_00107	ON740976.1_00098
OG0000056	AY779031.1_00120	ON740976.1_00110
OG0000057	AY779031.1_00125	ON740976.1_00115
OG0000058	AY779031.1_00127	ON740976.1_00117
OG0000059	AY779031.1_00002	ON740976.1_00002
OG0000060	AY779031.1_00010	ON740976.1_00010
OG0000062	AY779031.1_00099	ON740976.1_00090
OG0000063	AY779031.1_00074, AY779031.1_00075	ON740976.1_00072
OG0000064	AY779031.1_00123, AY779031.1_00018	ON740976.1_00016
OG0000065	AY779031.1_00042	ON740976.1_00038
OG0000066	AY779031.1_00047, AY779031.1_00046	ON740976.1_00042
OG0000067	AY779031.1_00051	ON740976.1_00046
OG0000068	AY779031.1_00072	ON740976.1_00067
OG0000069	AY779031.1_00106	ON740976.1_00097
OG0000070	AY779031.1_00110, AY779031.1_00111	ON740976.1_00099
OG0000071	AY779031.1_00124	ON740976.1_00114
OG0000072	AY779031.1_00009	ON740976.1_00009
OG0000073	AY779031.1_00012	ON740976.1_00011
OG0000074	AY779031.1_00017	ON740976.1_00015
OG0000075	AY779031.1_00038	ON740976.1_00034
OG0000076	AY779031.1_00041	ON740976.1_00037
OG0000077	AY779031.1_00044	ON740976.1_00040
OG0000078	AY779031.1_00045	ON740976.1_00041
OG0000079	AY779031.1_00050	ON740976.1_00045
OG0000080	AY779031.1_00055	ON740976.1_00051
OG0000081	AY779031.1_00056	ON740976.1_00052
OG0000082	AY779031.1_00057	ON740976.1_00053
OG0000083	AY779031.1_00067	ON740976.1_00062
OG0000084	AY779031.1_00070	ON740976.1_00065
OG0000085	AY779031.1_00073	ON740976.1_00068
OG0000086	AY779031.1_00076	ON740976.1_00069
OG0000087	AY779031.1_00081	ON740976.1_00073
OG0000088	AY779031.1_00082	ON740976.1_00074
OG0000089	AY779031.1_00092	ON740976.1_00083
OG0000090	AY779031.1_00093	ON740976.1_00084
OG0000091	AY779031.1_00105	ON740976.1_00096
OG0000092	AY779031.1_00112	ON740976.1_00100
OG0000093	AY779031.1_00114	ON740976.1_00104
OG0000094	AY779031.1_00117	ON740976.1_00107
OG0000095	AY779031.1_00118	ON740976.1_00108
OG0000097	AY779031.1_00003	ON740976.1_00003
OG0000098	AY779031.1_00004	ON740976.1_00004
OG0000099	AY779031.1_00043	ON740976.1_00039
OG0000100	AY779031.1_00048	ON740976.1_00043
OG0000101	AY779031.1_00077	ON740976.1_00070
OG0000102	AY779031.1_00087	ON740976.1_00078
OG0000104	AY779031.1_00115	ON740976.1_00105
OG0000105	AY779031.1_00126	ON740976.1_00116
OG0000106	AY779031.1_00032	ON740976.1_00028
OG0000109	AY779031.1_00079	ON740976.1_00071
OG0000110	AY779031.1_00128	ON740976.1_00118
OG0000111	AY779031.1_00101	ON740976.1_00092
OG0000112	AY779031.1_00088	ON740976.1_00079
OG0000114	AY779031.1_00022	ON740976.1_00020
OG0000117	AY779031.1_00071	ON740976.1_00066
OG0000118	AY779031.1_00100	ON740976.1_00091
OG0000120	AY779031.1_00113	ON740976.1_00103
OG0000144	AY779031.1_00026	ON740976.1_00024
