Orthogroup	AY779031.1	KF938901.1
OG0000000	AY779031.1_00034	KF938901.1_00126
OG0000001	AY779031.1_00008	KF938901.1_00080
OG0000002	AY779031.1_00007	KF938901.1_00044
OG0000003	AY779031.1_00015, AY779031.1_00016	KF938901.1_00005
OG0000004	AY779031.1_00121	KF938901.1_00043
OG0000005	AY779031.1_00103	KF938901.1_00125
OG0000006	AY779031.1_00083	KF938901.1_00072
OG0000007	AY779031.1_00098	KF938901.1_00053
OG0000008	AY779031.1_00033	KF938901.1_00067
OG0000009	AY779031.1_00122	KF938901.1_00114
OG0000011	AY779031.1_00068	KF938901.1_00092
OG0000012	AY779031.1_00023	KF938901.1_00054
OG0000013	AY779031.1_00061	KF938901.1_00060
OG0000014	AY779031.1_00129	KF938901.1_00074
OG0000015	AY779031.1_00130	KF938901.1_00095
OG0000016	AY779031.1_00095	KF938901.1_00046
OG0000017	AY779031.1_00037	KF938901.1_00123
OG0000018	AY779031.1_00116	KF938901.1_00025
OG0000019	AY779031.1_00094	KF938901.1_00012
OG0000020	AY779031.1_00035	KF938901.1_00047
OG0000021	AY779031.1_00005	KF938901.1_00124
OG0000022	AY779031.1_00039	KF938901.1_00023
OG0000023	AY779031.1_00049	KF938901.1_00031
OG0000025	AY779031.1_00069	KF938901.1_00093
