Orthogroup	KT781098	LS484712
OG0000000	AF371960.1_00031 hypothetical protein	LS484712.1_00114 hypothetical protein
OG0000001	AF371960.1_00008 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000002	AF371960.1_00015 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000003	AF371960.1_00030 hypothetical protein	LS484712.1_00248 hypothetical protein
OG0000004	AF371960.1_00113 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000005	AF371960.1_00005 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000006	AF371960.1_00007 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000007	AF371960.1_00021 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000008	AF371960.1_00032 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000009	AF371960.1_00036 DNA-directed RNA polymerase subunit 2	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000010	AF371960.1_00057 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000011	AF371960.1_00064 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000012	AF371960.1_00088 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000013	AF371960.1_00092 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000014	AF371960.1_00107 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000015	AF371960.1_00121 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000016	AF371960.1_00122 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000017	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000018	AF371960.1_00034 hypothetical protein	LS484712.1_00240 hypothetical protein
OG0000019	AF371960.1_00078 hypothetical protein	LS484712.1_00040 hypothetical protein
OG0000024	AF371960.1_00045 hypothetical protein	LS484712.1_00117 hypothetical protein
OG0000065	ORF066L_refgen ORF066L	LS484712.1_00002 hypothetical protein
