Orthogroup	Rana_FV3_NC_005946.1	Chlor_IIV22_HF920633.1
OG0000000	Rana_FV3_NC_005946.1_00010	Chlor_IIV22_HF920633.1_00044
OG0000001	Rana_FV3_NC_005946.1_00091	Chlor_IIV22_HF920633.1_00073
OG0000002	Rana_FV3_NC_005946.1_00053	Chlor_IIV22_HF920633.1_00069
OG0000003	Rana_FV3_NC_005946.1_00057	Chlor_IIV22_HF920633.1_00127
OG0000004	Rana_FV3_NC_005946.1_00028	Chlor_IIV22_HF920633.1_00079
OG0000005	Rana_FV3_NC_005946.1_00002	Chlor_IIV22_HF920633.1_00091
OG0000006	Rana_FV3_NC_005946.1_00095	Chlor_IIV22_HF920633.1_00043
OG0000007	Rana_FV3_NC_005946.1_00042	Chlor_IIV22_HF920633.1_00025
OG0000008	Rana_FV3_NC_005946.1_00092	Chlor_IIV22_HF920633.1_00122
OG0000009	Rana_FV3_NC_005946.1_00014	Chlor_IIV22_HF920633.1_00085
OG0000011	Rana_FV3_NC_005946.1_00094	Chlor_IIV22_HF920633.1_00163
OG0000012	Rana_FV3_NC_005946.1_00061	Chlor_IIV22_HF920633.1_00175
OG0000013	Rana_FV3_NC_005946.1_00023	Chlor_IIV22_HF920633.1_00003
OG0000014	Rana_FV3_NC_005946.1_00082	Chlor_IIV22_HF920633.1_00094
OG0000015	Rana_FV3_NC_005946.1_00083	Chlor_IIV22_HF920633.1_00080
OG0000016	Rana_FV3_NC_005946.1_00060	Chlor_IIV22_HF920633.1_00001
OG0000017	Rana_FV3_NC_005946.1_00022	Chlor_IIV22_HF920633.1_00067
OG0000018	Rana_FV3_NC_005946.1_00016	Chlor_IIV22_HF920633.1_00138
OG0000019	Rana_FV3_NC_005946.1_00011	Chlor_IIV22_HF920633.1_00118
OG0000020	Rana_FV3_NC_005946.1_00021	Chlor_IIV22_HF920633.1_00058
OG0000021	Rana_FV3_NC_005946.1_00087	Chlor_IIV22_HF920633.1_00158
OG0000022	Rana_FV3_NC_005946.1_00038	Chlor_IIV22_HF920633.1_00097
OG0000023	Rana_FV3_NC_005946.1_00089	Chlor_IIV22_HF920633.1_00017
OG0000024	Rana_FV3_NC_005946.1_00067	Chlor_IIV22_HF920633.1_00062
OG0000113	Rana_FV3_NC_005946.1_00020	Chlor_IIV22_HF920633.1_00086
OG0000133	Rana_FV3_NC_005946.1_00079	Chlor_IIV22_HF920633.1_00064
OG0000134	Rana_FV3_NC_005946.1_00001	Chlor_IIV22_HF920633.1_00135
OG0000137	Rana_FV3_NC_005946.1_00039	Chlor_IIV22_HF920633.1_00132
OG0000148	Rana_FV3_NC_005946.1_00054	Chlor_IIV22_HF920633.1_00026
OG0000152	Rana_FV3_NC_005946.1_00044	Chlor_IIV22_HF920633.1_00024
OG0000156	Rana_FV3_NC_005946.1_00063	Chlor_IIV22_HF920633.1_00106
OG0000165	Rana_FV3_NC_005946.1_00029	Chlor_IIV22_HF920633.1_00034
OG0000166	Rana_FV3_NC_005946.1_00026	Chlor_IIV22_HF920633.1_00171
OG0000168	Rana_FV3_NC_005946.1_00004	Chlor_IIV22_HF920633.1_00144
