Orthogroup	Rana_FV3_NC_005946.1	Chlor_AMIV_KF938901.1
OG0000000	Rana_FV3_NC_005946.1_00010	Chlor_AMIV_KF938901.1_00126
OG0000001	Rana_FV3_NC_005946.1_00091	Chlor_AMIV_KF938901.1_00044
OG0000002	Rana_FV3_NC_005946.1_00053	Chlor_AMIV_KF938901.1_00080
OG0000003	Rana_FV3_NC_005946.1_00057	Chlor_AMIV_KF938901.1_00005
OG0000004	Rana_FV3_NC_005946.1_00028	Chlor_AMIV_KF938901.1_00043
OG0000005	Rana_FV3_NC_005946.1_00002	Chlor_AMIV_KF938901.1_00053
OG0000006	Rana_FV3_NC_005946.1_00095	Chlor_AMIV_KF938901.1_00067
OG0000007	Rana_FV3_NC_005946.1_00042	Chlor_AMIV_KF938901.1_00072
OG0000008	Rana_FV3_NC_005946.1_00092	Chlor_AMIV_KF938901.1_00114
OG0000009	Rana_FV3_NC_005946.1_00014	Chlor_AMIV_KF938901.1_00125
OG0000011	Rana_FV3_NC_005946.1_00094	Chlor_AMIV_KF938901.1_00012
OG0000012	Rana_FV3_NC_005946.1_00061	Chlor_AMIV_KF938901.1_00023
OG0000013	Rana_FV3_NC_005946.1_00023	Chlor_AMIV_KF938901.1_00025
OG0000014	Rana_FV3_NC_005946.1_00082	Chlor_AMIV_KF938901.1_00046
OG0000015	Rana_FV3_NC_005946.1_00083	Chlor_AMIV_KF938901.1_00047
OG0000016	Rana_FV3_NC_005946.1_00060	Chlor_AMIV_KF938901.1_00054
OG0000017	Rana_FV3_NC_005946.1_00022	Chlor_AMIV_KF938901.1_00060
OG0000018	Rana_FV3_NC_005946.1_00016	Chlor_AMIV_KF938901.1_00074
OG0000019	Rana_FV3_NC_005946.1_00011	Chlor_AMIV_KF938901.1_00092
OG0000020	Rana_FV3_NC_005946.1_00021	Chlor_AMIV_KF938901.1_00095
OG0000021	Rana_FV3_NC_005946.1_00087	Chlor_AMIV_KF938901.1_00123
OG0000022	Rana_FV3_NC_005946.1_00038	Chlor_AMIV_KF938901.1_00124
OG0000023	Rana_FV3_NC_005946.1_00089	Chlor_AMIV_KF938901.1_00031
OG0000024	Rana_FV3_NC_005946.1_00067	Chlor_AMIV_KF938901.1_00094
OG0000133	Rana_FV3_NC_005946.1_00079	Chlor_AMIV_KF938901.1_00007
OG0000134	Rana_FV3_NC_005946.1_00001	Chlor_AMIV_KF938901.1_00086
OG0000137	Rana_FV3_NC_005946.1_00039	Chlor_AMIV_KF938901.1_00048
OG0000148	Rana_FV3_NC_005946.1_00054	Chlor_AMIV_KF938901.1_00069
OG0000152	Rana_FV3_NC_005946.1_00044	Chlor_AMIV_KF938901.1_00027
OG0000156	Rana_FV3_NC_005946.1_00063	Chlor_AMIV_KF938901.1_00118
OG0000165	Rana_FV3_NC_005946.1_00029	Chlor_AMIV_KF938901.1_00009
OG0000166	Rana_FV3_NC_005946.1_00026	Chlor_AMIV_KF938901.1_00017
OG0000168	Rana_FV3_NC_005946.1_00004	Chlor_AMIV_KF938901.1_00101
