Orthogroup	Rana_FV3_NC_005946.1	Irido_IIV6_AF303741.1
OG0000000	Rana_FV3_NC_005946.1_00010	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	Rana_FV3_NC_005946.1_00091	Irido_IIV6_AF303741.1_00125
OG0000002	Rana_FV3_NC_005946.1_00053	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	Rana_FV3_NC_005946.1_00057	Irido_IIV6_AF303741.1_00035
OG0000004	Rana_FV3_NC_005946.1_00028	Irido_IIV6_AF303741.1_00080
OG0000005	Rana_FV3_NC_005946.1_00002	Irido_IIV6_AF303741.1_00149
OG0000006	Rana_FV3_NC_005946.1_00095	Irido_IIV6_AF303741.1_00165
OG0000007	Rana_FV3_NC_005946.1_00042	Irido_IIV6_AF303741.1_00132
OG0000008	Rana_FV3_NC_005946.1_00092	Irido_IIV6_AF303741.1_00176
OG0000009	Rana_FV3_NC_005946.1_00014	Irido_IIV6_AF303741.1_00129
OG0000011	Rana_FV3_NC_005946.1_00094	Irido_IIV6_AF303741.1_00137
OG0000012	Rana_FV3_NC_005946.1_00061	Irido_IIV6_AF303741.1_00189
OG0000013	Rana_FV3_NC_005946.1_00023	Irido_IIV6_AF303741.1_00081
OG0000014	Rana_FV3_NC_005946.1_00082	Irido_IIV6_AF303741.1_00062
OG0000015	Rana_FV3_NC_005946.1_00083	Irido_IIV6_AF303741.1_00156
OG0000016	Rana_FV3_NC_005946.1_00060	Irido_IIV6_AF303741.1_00011
OG0000017	Rana_FV3_NC_005946.1_00022	Irido_IIV6_AF303741.1_00023
OG0000018	Rana_FV3_NC_005946.1_00016	Irido_IIV6_AF303741.1_00026
OG0000019	Rana_FV3_NC_005946.1_00011	Irido_IIV6_AF303741.1_00006
OG0000020	Rana_FV3_NC_005946.1_00021	Irido_IIV6_AF303741.1_00046
OG0000021	Rana_FV3_NC_005946.1_00087	Irido_IIV6_AF303741.1_00063
OG0000022	Rana_FV3_NC_005946.1_00038	Irido_IIV6_AF303741.1_00158
OG0000023	Rana_FV3_NC_005946.1_00089	Irido_IIV6_AF303741.1_00154
OG0000024	Rana_FV3_NC_005946.1_00067	Irido_IIV6_AF303741.1_00168
OG0000113	Rana_FV3_NC_005946.1_00020	Irido_IIV6_AF303741.1_00170
OG0000133	Rana_FV3_NC_005946.1_00079	Irido_IIV6_AF303741.1_00157
OG0000134	Rana_FV3_NC_005946.1_00001	Irido_IIV6_AF303741.1_00126
OG0000137	Rana_FV3_NC_005946.1_00039	Irido_IIV6_AF303741.1_00031
OG0000148	Rana_FV3_NC_005946.1_00054	Irido_IIV6_AF303741.1_00072
OG0000156	Rana_FV3_NC_005946.1_00063	Irido_IIV6_AF303741.1_00192
OG0000168	Rana_FV3_NC_005946.1_00004	Irido_IIV6_AF303741.1_00105
