Orthogroup	Rana_FV3_NC_005946.1	MCV_ML1_SDDV_NC_027778.1
OG0000000	Rana_FV3_NC_005946.1_00010	MCV_ML1_SDDV_NC_027778.1_00083
OG0000001	Rana_FV3_NC_005946.1_00091	MCV_ML1_SDDV_NC_027778.1_00061
OG0000002	Rana_FV3_NC_005946.1_00053	MCV_ML1_SDDV_NC_027778.1_00062
OG0000003	Rana_FV3_NC_005946.1_00057	MCV_ML1_SDDV_NC_027778.1_00068
OG0000004	Rana_FV3_NC_005946.1_00028	MCV_ML1_SDDV_NC_027778.1_00040
OG0000005	Rana_FV3_NC_005946.1_00002	MCV_ML1_SDDV_NC_027778.1_00032
OG0000006	Rana_FV3_NC_005946.1_00095	MCV_ML1_SDDV_NC_027778.1_00080
OG0000007	Rana_FV3_NC_005946.1_00042	MCV_ML1_SDDV_NC_027778.1_00098
OG0000008	Rana_FV3_NC_005946.1_00092	MCV_ML1_SDDV_NC_027778.1_00039
OG0000009	Rana_FV3_NC_005946.1_00014	MCV_ML1_SDDV_NC_027778.1_00036
OG0000011	Rana_FV3_NC_005946.1_00094	MCV_ML1_SDDV_NC_027778.1_00026
OG0000012	Rana_FV3_NC_005946.1_00061	MCV_ML1_SDDV_NC_027778.1_00129
OG0000013	Rana_FV3_NC_005946.1_00023	MCV_ML1_SDDV_NC_027778.1_00043
OG0000014	Rana_FV3_NC_005946.1_00082	MCV_ML1_SDDV_NC_027778.1_00027
OG0000015	Rana_FV3_NC_005946.1_00083	MCV_ML1_SDDV_NC_027778.1_00133
OG0000016	Rana_FV3_NC_005946.1_00060	MCV_ML1_SDDV_NC_027778.1_00077
OG0000017	Rana_FV3_NC_005946.1_00022	MCV_ML1_SDDV_NC_027778.1_00018
OG0000018	Rana_FV3_NC_005946.1_00016	MCV_ML1_SDDV_NC_027778.1_00038
OG0000019	Rana_FV3_NC_005946.1_00011	MCV_ML1_SDDV_NC_027778.1_00111
OG0000020	Rana_FV3_NC_005946.1_00021	MCV_ML1_SDDV_NC_027778.1_00116
OG0000021	Rana_FV3_NC_005946.1_00087	MCV_ML1_SDDV_NC_027778.1_00132
OG0000022	Rana_FV3_NC_005946.1_00038	MCV_ML1_SDDV_NC_027778.1_00106
OG0000023	Rana_FV3_NC_005946.1_00089	MCV_ML1_SDDV_NC_027778.1_00003
OG0000024	Rana_FV3_NC_005946.1_00067	MCV_ML1_SDDV_NC_027778.1_00054
OG0000026	Rana_FV3_NC_005946.1_00086	MCV_ML1_SDDV_NC_027778.1_00042
OG0000027	Rana_FV3_NC_005946.1_00049	MCV_ML1_SDDV_NC_027778.1_00029
OG0000028	Rana_FV3_NC_005946.1_00085	MCV_ML1_SDDV_NC_027778.1_00006
OG0000150	Rana_FV3_NC_005946.1_00052	MCV_ML1_SDDV_NC_027778.1_00119
OG0000209	Rana_FV3_NC_005946.1_00007	MCV_ML1_SDDV_NC_027778.1_00055
