Orthogroup	Rana_FV3_NC_005946.1	Daphi_LS484712.1
OG0000000	Rana_FV3_NC_005946.1_00010	Daphi_LS484712.1_00114
OG0000001	Rana_FV3_NC_005946.1_00091	Daphi_LS484712.1_00142
OG0000002	Rana_FV3_NC_005946.1_00053	Daphi_LS484712.1_00095
OG0000003	Rana_FV3_NC_005946.1_00057	Daphi_LS484712.1_00187
OG0000005	Rana_FV3_NC_005946.1_00002	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234
OG0000006	Rana_FV3_NC_005946.1_00095	Daphi_LS484712.1_00248
OG0000007	Rana_FV3_NC_005946.1_00042	Daphi_LS484712.1_00040
OG0000008	Rana_FV3_NC_005946.1_00092	Daphi_LS484712.1_00130
OG0000009	Rana_FV3_NC_005946.1_00014	Daphi_LS484712.1_00256
OG0000011	Rana_FV3_NC_005946.1_00094	Daphi_LS484712.1_00192
OG0000012	Rana_FV3_NC_005946.1_00061	Daphi_LS484712.1_00194
OG0000013	Rana_FV3_NC_005946.1_00023	Daphi_LS484712.1_00053
OG0000014	Rana_FV3_NC_005946.1_00082	Daphi_LS484712.1_00048
OG0000015	Rana_FV3_NC_005946.1_00083	Daphi_LS484712.1_00188
OG0000016	Rana_FV3_NC_005946.1_00060	Daphi_LS484712.1_00200
OG0000017	Rana_FV3_NC_005946.1_00022	Daphi_LS484712.1_00143
OG0000018	Rana_FV3_NC_005946.1_00016	Daphi_LS484712.1_00202
OG0000019	Rana_FV3_NC_005946.1_00011	Daphi_LS484712.1_00203
OG0000020	Rana_FV3_NC_005946.1_00021	Daphi_LS484712.1_00135
OG0000021	Rana_FV3_NC_005946.1_00087	Daphi_LS484712.1_00240
OG0000022	Rana_FV3_NC_005946.1_00038	Daphi_LS484712.1_00096
OG0000023	Rana_FV3_NC_005946.1_00089	Daphi_LS484712.1_00117
OG0000024	Rana_FV3_NC_005946.1_00067	Daphi_LS484712.1_00149
OG0000133	Rana_FV3_NC_005946.1_00079	Daphi_LS484712.1_00197
OG0000134	Rana_FV3_NC_005946.1_00001	Daphi_LS484712.1_00057
OG0000137	Rana_FV3_NC_005946.1_00039	Daphi_LS484712.1_00251
OG0000148	Rana_FV3_NC_005946.1_00054	Daphi_LS484712.1_00133
