HOG	OG	Gene Tree Parent Clade	AF303741	AF371960	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT521409	MT798582	MT926123	MT986830	MW139932	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON740976	ON743042	OP009387	OQ475017
N33.HOG0000000	OG0000000	n0	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2						HF920633.1_00044 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2		KF938901.1_00126 DNA-directed RNA polymerase subunit 1			LS484712.1_00114 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2																											
N33.HOG0000001	OG0000001	n0	AF303741.1_00035 hypothetical protein						HF920633.1_00127 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation		KF938901.1_00005 hypothetical protein			LS484712.1_00187 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation																											
N33.HOG0000002	OG0000002	n0	AF303741.1_00047 hypothetical protein						HF920633.1_00069 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation		KF938901.1_00080 hypothetical protein			LS484712.1_00095 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation																											
N33.HOG0000003	OG0000003	n0	AF303741.1_00165 hypothetical protein						HF920633.1_00043 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation		KF938901.1_00067 hypothetical protein			LS484712.1_00248 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation																											
N33.HOG0000004	OG0000004	n0	AF303741.1_00176 hypothetical protein						HF920633.1_00122 hypothetical protein	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation		KF938901.1_00114 hypothetical protein			LS484712.1_00130 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation																											
N33.HOG0000005	OG0000005	n0	AF303741.1_00006 hypothetical protein						HF920633.1_00118 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation		KF938901.1_00092 hypothetical protein			LS484712.1_00203 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation																											
N33.HOG0000006	OG0000006	n0	AF303741.1_00011 hypothetical protein						HF920633.1_00001 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation		KF938901.1_00054 hypothetical protein			LS484712.1_00200 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation																											
N33.HOG0000007	OG0000007	n0	AF303741.1_00023 hypothetical protein						HF920633.1_00067 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation		KF938901.1_00060 hypothetical protein			LS484712.1_00143 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation																											
N33.HOG0000008	OG0000008	n0	AF303741.1_00026 hypothetical protein						HF920633.1_00138 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation		KF938901.1_00074 hypothetical protein			LS484712.1_00202 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation																											
N33.HOG0000009	OG0000009	n0	AF303741.1_00046 hypothetical protein						HF920633.1_00058 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation		KF938901.1_00095 hypothetical protein			LS484712.1_00135 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation																											
N33.HOG0000010	OG0000010	n0	AF303741.1_00063 hypothetical protein						HF920633.1_00158 hypothetical protein	HF920637.1_00073 HF920637.1 - hypothetical protein translation		KF938901.1_00123 hypothetical protein			LS484712.1_00240 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation																											
N33.HOG0000011	OG0000011	n0	AF303741.1_00081 hypothetical protein						HF920633.1_00003 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation		KF938901.1_00025 hypothetical protein			LS484712.1_00053 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation																											
N33.HOG0000012	OG0000012	n0	AF303741.1_00125 Major capsid protein						HF920633.1_00073 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation		KF938901.1_00044 Major capsid protein			LS484712.1_00142 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation																											
