Orthogroup	MF599468.1	MN432490.1
OG0000000	MF599468.1_00057, MF599468.1_00056	MN432490.1_00032
OG0000001	MF599468.1_00163	MN432490.1_00008
OG0000002	MF599468.1_00152	MN432490.1_00007
OG0000003	MF599468.1_00011	MN432490.1_00015
OG0000004	MF599468.1_00092	MN432490.1_00113
OG0000005	MF599468.1_00154	MN432490.1_00097
OG0000006	MF599468.1_00010	MN432490.1_00078
OG0000007	MF599468.1_00174	MN432490.1_00092
OG0000008	MF599468.1_00030	MN432490.1_00031
OG0000009	MF599468.1_00075	MN432490.1_00114
OG0000011	MF599468.1_00149	MN432490.1_00064
OG0000012	MF599468.1_00112	MN432490.1_00023
OG0000013	MF599468.1_00033	MN432490.1_00058
OG0000014	MF599468.1_00122	MN432490.1_00122
OG0000015	MF599468.1_00009	MN432490.1_00123
OG0000016	MF599468.1_00046	MN432490.1_00089
OG0000017	MF599468.1_00035	MN432490.1_00035
OG0000018	MF599468.1_00117	MN432490.1_00108
OG0000019	MF599468.1_00106	MN432490.1_00088
OG0000020	MF599468.1_00090	MN432490.1_00033
OG0000021	MF599468.1_00116	MN432490.1_00005
OG0000022	MF599468.1_00071	MN432490.1_00037
OG0000023	MF599468.1_00171	MN432490.1_00046
OG0000026	MF599468.1_00039	MN432490.1_00111
OG0000047	MF599468.1_00013	MN432490.1_00059
OG0000069	MF599468.1_00131	MN432490.1_00100
