Orthogroup	MF599468.1	OK042108.1
OG0000000	MF599468.1_00057, MF599468.1_00056	OK042108.1_00047
OG0000001	MF599468.1_00163	OK042108.1_00068
OG0000002	MF599468.1_00152	OK042108.1_00069
OG0000003	MF599468.1_00011	OK042108.1_00062
OG0000004	MF599468.1_00092	OK042108.1_00087
OG0000005	MF599468.1_00154	OK042108.1_00104
OG0000006	MF599468.1_00010	OK042108.1_00001
OG0000007	MF599468.1_00174	OK042108.1_00109
OG0000008	MF599468.1_00030	OK042108.1_00048
OG0000009	MF599468.1_00075	OK042108.1_00085
OG0000011	MF599468.1_00149	OK042108.1_00013
OG0000012	MF599468.1_00112	OK042108.1_00055
OG0000013	MF599468.1_00033	OK042108.1_00020
OG0000014	MF599468.1_00122	OK042108.1_00077
OG0000015	MF599468.1_00009	OK042108.1_00076
OG0000016	MF599468.1_00046	OK042108.1_00112
OG0000017	MF599468.1_00035	OK042108.1_00044
OG0000018	MF599468.1_00117	OK042108.1_00092
OG0000019	MF599468.1_00106	OK042108.1_00113
OG0000020	MF599468.1_00090	OK042108.1_00046
OG0000021	MF599468.1_00116	OK042108.1_00070
OG0000022	MF599468.1_00071	OK042108.1_00042
OG0000023	MF599468.1_00171	OK042108.1_00033
OG0000026	MF599468.1_00039	OK042108.1_00089
OG0000047	MF599468.1_00013	OK042108.1_00019
OG0000069	MF599468.1_00131	OK042108.1_00101
